Country,Region,Income group,Code,Selected,Value,Translation Reviewers
Afghanistan,Latin America & Caribbean,High income,ABW,,1,0
Îles Aland,South Asia,Low income,AFG,,2,0
Albanie,Sub-Saharan Africa,Lower middle income,AGO,,3,0
Algérie,Europe & Central Asia,Upper middle income,ALB,,4,0
Samoa américaines,Europe & Central Asia,High income,AND,,5,0
Andorre,Middle East & North Africa,High income,ARE,,6,0
Angola,Latin America & Caribbean,Upper middle income,ARG,,7,0
Anguilla,Europe & Central Asia,Upper middle income,ARM,,8,0
Antarctique,East Asia & Pacific,High income,ASM,,9,0
Antigua-et-Barbuda,Latin America & Caribbean,High income,ATG,,10,0
Argentine,East Asia & Pacific,High income,AUS,,11,0
Arménie,Europe & Central Asia,High income,AUT,,12,0
Aruba,Europe & Central Asia,Upper middle income,AZE,,13,0
Australie,Sub-Saharan Africa,Low income,BDI,,14,0
Autriche,Europe & Central Asia,High income,BEL,,15,0
Azerbaïdjan,Sub-Saharan Africa,Lower middle income,BEN,,16,0
Bahreïn,Sub-Saharan Africa,Low income,BFA,,17,0
Bangladesh,South Asia,Lower middle income,BGD,,18,0
Barbade,Europe & Central Asia,Upper middle income,BGR,,19,0
Biélorussie,Middle East & North Africa,High income,BHR,,20,0
Belgique,Latin America & Caribbean,High income,BHS,,21,0
Bélize,Europe & Central Asia,Upper middle income,BIH,,22,0
Bénin,Europe & Central Asia,Upper middle income,BLR,,23,0
Bermudes,Latin America & Caribbean,Upper middle income,BLZ,,24,0
Bhoutan,North America,High income,BMU,,25,0
Bolivie,Latin America & Caribbean,Lower middle income,BOL,,26,0
"Bonaire, Saint-Eustache et Saba",Latin America & Caribbean,Upper middle income,BRA,,27,0
Bosnie-Herzégovine,Latin America & Caribbean,High income,BRB,,28,0
Botswana,East Asia & Pacific,High income,BRN,,29,0
Île Bouvet,South Asia,Lower middle income,BTN,,30,0
Brésil,Sub-Saharan Africa,Upper middle income,BWA,,31,0
Territoire britannique de l'océan Indien,Sub-Saharan Africa,Low income,CAF,,32,0
Brunéi,North America,High income,CAN,,33,0
Bulgarie,Europe & Central Asia,High income,CHE,,34,0
Burkina Faso,Europe & Central Asia,High income,CHI,,35,0
Burundi,Latin America & Caribbean,High income,CHL,,36,0
Cambodge,East Asia & Pacific,Upper middle income,CHN,,37,0
Cameroun,Sub-Saharan Africa,Lower middle income,CIV,,38,0
Canada,Sub-Saharan Africa,Lower middle income,CMR,,39,0
Cap-Vert,Sub-Saharan Africa,Low income,COD,,40,0
Îles Caïmans,Sub-Saharan Africa,Lower middle income,COG,,41,0
République centrafricaine,Latin America & Caribbean,Upper middle income,COL,,42,0
Tchad,Sub-Saharan Africa,Lower middle income,COM,,43,0
Chili,Sub-Saharan Africa,Lower middle income,CPV,,44,0
Chine,Latin America & Caribbean,Upper middle income,CRI,,45,0
Île Christmas,Latin America & Caribbean,Upper middle income,CUB,,46,0
