Microorganism,Code,Library,Type,Value,Translation Reviewers
Achromobactérie,91620006.0,SNOMED,bacteria,1,0
Achromobacter xylosoxydans,413424009.0,SNOMED,bacteria,2,0
Acinétobactérie,7757008.0,SNOMED,bacteria,3,0
Acinetobacter anitratus,82550008.0,SNOMED,bacteria,4,0
Acinetobacter baumannii,91288006.0,SNOMED,bacteria,5,0
Acinetobacter calcoaceticus,413398000.0,SNOMED,bacteria,6,0
Complexe Acinetobacter calcoaceticus-baumannii,113376007.0,SNOMED,bacteria,7,0
Acinetobacter johnsonii,252000.0,SNOMED,bacteria,8,0
Actinomyces israélien,46369004.0,SNOMED,bacteria,9,0
Aéromonas,88529008.0,SNOMED,bacteria,10,0
Agrégatibactérie,441718002.0,SNOMED,bacteria,11,0
Bactéries anaérobies,59343002.0,SNOMED,bacteria,12,0
Bacille,44762009.0,SNOMED,bacteria,13,0
Bacille anthracis,21927003.0,SNOMED,bacteria,14,0
Bacillus cereus,84408007.0,SNOMED,bacteria,15,0
Bacteroides fragilis,55247009.0,SNOMED,bacteria,16,0
Bacteroides thetaiotaomicron,34236001.0,SNOMED,bacteria,17,0
Bordetella coqueluche,5247005.0,SNOMED,bacteria,18,0
Burkholderia,414324002.0,SNOMED,bacteria,19,0
Burkholderia cenocepacia,416941006.0,SNOMED,bacteria,20,0
Burkholderia cepacia,113669008.0,SNOMED,bacteria,21,0
Burkholderia pseudomallei,116399000.0,SNOMED,bacteria,22,0
Campylobactérie,35408001.0,SNOMED,bacteria,23,0
Chlamydia,16241000.0,SNOMED,bacteria,24,0
Chlamydophila pneumoniae,103514009.0,SNOMED,bacteria,25,0
Chryseobacterium indogenes,113549008.0,SNOMED,bacteria,26,0
Citrobactérie,75972000.0,SNOMED,bacteria,27,0
Citrobacter braakii,114262000.0,SNOMED,bacteria,28,0
Citrobactérie freundii,6265002.0,SNOMED,bacteria,29,0
Citrobacter koseri,114264004.0,SNOMED,bacteria,30,0
Clostridium botulique,13080008.0,SNOMED,bacteria,31,0
Clostridium difficile,5933001.0,SNOMED,bacteria,32,0
Clostridium difficile (toxine positive),736050006.0,SNOMED,bacteria,33,0
Clostridium tetani,30917009.0,SNOMED,bacteria,34,0
Staphylocoque à coagulase négative,116197008.0,SNOMED,bacteria,35,0
Bactéries coliformes,77309002.0,SNOMED,bacteria,36,0
Corynebactérie,77086004.0,SNOMED,bacteria,37,0
Corynebactérie amycolatum,113611002.0,SNOMED,bacteria,38,0
Corynebacterium pseudodiphtheriticum,12050008.0,SNOMED,bacteria,39,0
Corynebacterium pseudotuberculose,55084001.0,SNOMED,bacteria,40,0
Corynebactérie striatum,63815007.0,SNOMED,bacteria,41,0
Corynebacterium Ulcerans,103428000.0,SNOMED,bacteria,42,0
Corynebacterium xérose,27101006.0,SNOMED,bacteria,43,0
Cryptocoque,17579001.0,SNOMED,bacteria,44,0
Cryptococcus néoformans,67168003.0,SNOMED,bacteria,45,0
Delftie,416493002.0,SNOMED,bacteria,46,0
Delftia acidovorans,20432002.0,SNOMED,bacteria,47,0
Dermabactérie,413976002.0,SNOMED,bacteria,48,0
Diphtéroïde,54642001.0,SNOMED,bacteria,49,0
Eggerthella,414075007.0,SNOMED,bacteria,50,0
Elizabethkingia,426244005.0,SNOMED,bacteria,51,0
Bactéries entériques,106544002.0,SNOMED,bacteria,52,0
Entérobactérie,58683007.0,SNOMED,bacteria,53,0
Enterobacter aérogènes,62592009.0,SNOMED,bacteria,54,0
Enterobacter asburiae,33115003.0,SNOMED,bacteria,55,0
Enterobacter bugandensis,114000000000000.0,SNOMED,bacteria,56,0
Enterobacter cloacae,14385002.0,SNOMED,bacteria,57,0
Complexe Enterobacter cloacae,414102007.0,SNOMED,bacteria,58,0
Enterobacter hormaechei,114454006.0,SNOMED,bacteria,59,0
Enterobacter Kobei,114456008.0,SNOMED,bacteria,60,0
Entérobactéries,106544002.0,SNOMED,bacteria,61,0
Entérocoque,2785000.0,SNOMED,bacteria,62,0
Entérocoque avium,87875008.0,SNOMED,bacteria,63,0
Enterococcus faecalis,78065002.0,SNOMED,bacteria,64,0
Enterococcus faecium,90272000.0,SNOMED,bacteria,65,0
Enterococcus raffinosus,103437000.0,SNOMED,bacteria,66,0
Escherichia,64735005.0,SNOMED,bacteria,67,0
Escherichia coli,112283007.0,SNOMED,bacteria,68,0
Francisella tularensis,51526001.0,SNOMED,bacteria,69,0
Fusobactérie nucléatum,32763000.0,SNOMED,bacteria,70,0
Bacille Gram négatif,87172008.0,SNOMED,bacteria,71,0
Bacille Gram positif,83514008.0,SNOMED,bacteria,72,0
Coccus à Gram positif,59206002.0,SNOMED,bacteria,73,0
Granulicatella adiacens,113713009.0,SNOMED,bacteria,74,0
Hémophilus,71268004.0,SNOMED,bacteria,75,0
Haemophilus ducreyi,64889004.0,SNOMED,bacteria,76,0
Haemophilus influenzae,44470000.0,SNOMED,bacteria,77,0
Haemophilus parainfluenzae,51593004.0,SNOMED,bacteria,78,0
Hafnia alvei,76694001.0,SNOMED,bacteria,79,0
Helicobacter pylori,80774000.0,SNOMED,bacteria,80,0
Klebsiella,75032006.0,SNOMED,bacteria,81,0
Klebsiella aérogène,62592009.0,SNOMED,bacteria,82,0
Klebsiella oxytoca,40886007.0,SNOMED,bacteria,83,0
Klebsiella pneumoniae,56415008.0,SNOMED,bacteria,84,0
"Klebsiella pneumoniae, BLSE",409801009.0,SNOMED,bacteria,85,0
Klebsiella variicule,431976004.0,SNOMED,bacteria,86,0
Lacticaseibacillus rhamnosus,113798001.0,SNOMED,bacteria,87,0
Légionelle,7527002.0,SNOMED,bacteria,89,0
Legionella pneumophila,80897008.0,SNOMED,bacteria,90,0
Interrogateurs de Leptospira,116401006.0,SNOMED,bacteria,91,0
Listeria monocytogènes,36094007.0,SNOMED,bacteria,92,0
Staphylococcus aureus résistant à la méthicilline (SARM),115329001.0,SNOMED,bacteria,93,0
Staphylococcus aureus sensible à la méthicilline (MSSA),417943000.0,SNOMED,bacteria,94,0
Microcoque,52864008.0,SNOMED,bacteria,95,0
Micrococcus jaune,48299003.0,SNOMED,bacteria,96,0
Mirabilis,79589007.0,SNOMED,bacteria,97,0
Moraxelle,36361003.0,SNOMED,bacteria,98,0
Moraxella catarrhalis,24226003.0,SNOMED,bacteria,100,0
Morganelle,50713005.0,SNOMED,bacteria,101,0
Morganella morganii,243301005.0,SNOMED,bacteria,102,0
Mycobactérie,243368001.0,SNOMED,bacteria,103,0
Mycobactérie leprae,58242002.0,SNOMED,bacteria,104,0
Mycobactérie tuberculose,113861009.0,SNOMED,bacteria,105,0
"Mycobactérie, non tuberculeuse",110379001.0,SNOMED,bacteria,106,0
Mycoplasma agalactiae,16377009.0,SNOMED,bacteria,107,0
Mycoplasma pneumoniae,58720004.0,SNOMED,bacteria,108,0
Neisseria méningitidis,17872004.0,SNOMED,bacteria,109,0
Nocardia astéroïdes,30092002.0,SNOMED,bacteria,110,0
Nocardia brasiliensis,58970008.0,SNOMED,bacteria,111,0
Propionibactérie,34844008.0,SNOMED,bacteria,112,0
Propionibactérie acnés,39473003.0,SNOMED,bacteria,113,0
Protée,50517009.0,SNOMED,bacteria,114,0
Proteus mirabilis,73457008.0,SNOMED,bacteria,115,0
Protée vulgaire,45834001.0,SNOMED,bacteria,116,0
Providencia rettgeri,14196002.0,SNOMED,bacteria,117,0
Providence stuartii,1445008.0,SNOMED,bacteria,118,0
Pseudomonas,57032008.0,SNOMED,bacteria,119,0
Pseudomonas aeruginosa,52499004.0,SNOMED,bacteria,120,0
Pseudomonas fluorescens,39289003.0,SNOMED,bacteria,121,0
Pseudomonas putida,68608003.0,SNOMED,bacteria,122,0
Raoultella,417468005.0,SNOMED,bacteria,123,0
Raoultella ornithinolytica,416832000.0,SNOMED,bacteria,124,0
Raoultella planticola,416264004.0,SNOMED,bacteria,125,0
Salmonelle,27268008.0,SNOMED,bacteria,126,0
Salmonella hirschfeldii,32488009.0,SNOMED,bacteria,127,0
Serratie,42025004.0,SNOMED,bacteria,128,0
Serratia liquéfaciens,23787004.0,SNOMED,bacteria,129,0
Serratia marcescens,33522002.0,SNOMED,bacteria,130,0
Serratia ureilytica,450416004.0,SNOMED,bacteria,131,0
Shigelle,77352002.0,SNOMED,bacteria,132,0
Shigella boydii,55462008.0,SNOMED,bacteria,133,0
Shigella dysenteriae,43612004.0,SNOMED,bacteria,134,0
Shigella flexneri,85729005.0,SNOMED,bacteria,135,0
Shigella sonnei,4298009.0,SNOMED,bacteria,136,0
Sphingomonas paucimobilis,243350004.0,SNOMED,bacteria,137,0
Staphylocoque,65119002.0,SNOMED,bacteria,138,0
Staphylocoque doré,3092008.0,SNOMED,bacteria,139,0
Staphylocoque capitis,40347003.0,SNOMED,bacteria,140,0
Staphylocoque caprae,76969000.0,SNOMED,bacteria,141,0
Staphylocoque cohnii,66872005.0,SNOMED,bacteria,142,0
Staphylocoque épidermidis,60875001.0,SNOMED,bacteria,143,0
Staphylocoque hémolytique,83452006.0,SNOMED,bacteria,144,0
Staphylocoque hominis,44827007.0,SNOMED,bacteria,145,0
Staphylococcus hominis hominis,432505008.0,SNOMED,bacteria,146,0
Staphylococcus lugdunensis,103494005.0,SNOMED,bacteria,147,0
Staphylococcus pettenkoferi,428731005.0,SNOMED,bacteria,148,0
