Form,Section,Variable,Question,Answer Options,Definition,Completion Guideline,Form Translation Reviewers,Section Translation Reviewers,Question Translation Reviewers,Definition Translation Reviewers,Completion Guideline Translation Reviewers,Answer Options Translation Reviewers
apresentação,,subjid,Número de identificação do participante (PIN),,O número de identificação do participante ou o PIN é um número exclusivo usado para identificar os dados do paciente (participante).,Escreva o número de identificação do participante (PIN).,0,,0,0,0,
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_disease,Infecção suspeita ou confirmada,,Isso se refere a qualquer infecção suspeita ou confirmada.,"Se houver suspeita de mais de uma infecção, selecione a mais provável e complete a seção de teste de patógenos com confirmação de laboratório.",0,0,0,0,0,
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_reason,A infecção suspeita ou confirmada é o motivo da entrada hospitalar?,"1, Sim | 0, Não | 99, Desconhecido",Isso refere -se a se a infecção suspeita ou confirmada com o patógeno de interesse se o motivo (indicação) para a admissão hospitalar.,"Indique 'sim' se suspeita ou confirmada infecção com o patógeno de interesse, se o motivo (indicação) para a admissão hospitalar. Indique 'não' se a infecção suspeita ou confirmada com o patógeno de interesse não for o motivo (indicação) para a admissão hospitalar.",0,0,0,0,0,0
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_case,Status do caso,"1, Confirmado | 2, Provável | 3, Suspeito | 4, Descartado | 5, Erro","Confirmado refere-se a um caso confirmado em laboratório e que pode cumprir os critérios clínicos descritos na definição do caso. Provável refere-se a uma doença clinicamente compatível que está epidemiologicamente ligada a um caso confirmado sem confirmação laboratorial de infecção pelo patógeno de interesse. Suspeito refere-se a uma doença clinicamente compatível sem ligação epidemiológica ou confirmação laboratorial. Descartado refere-se a um paciente com um teste laboratorial negativo e que não cumpriu os critérios para um caso suspeito, provável ou confirmado. ","Selecione a opção mais adequada que representa o status do caso. ",0,0,0,0,0,0
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_testreason,Razão pela qual o paciente foi testado,"1, Sintomático | 2, Assintomático, contato rastreado | 3, Assintomático, campanha de testagem em massa | 4, Não testado",Isso se refere à razão pela qual o paciente foi testado para o patógeno de interesse.,Selecione a opção mais apropriada que corresponde ao motivo pelo qual o paciente foi testado para o patógeno de interesse.,0,0,0,0,0,0
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_testreason_otth,Especifique outro motivo,,Refere-se ao motivo pelo qual o paciente foi testado para o patógeno de interesse.,Selecione a opção mais adequada que corresponde ao motivo pelo qual o paciente foi testado para o patógeno de interesse.,0,0,0,0,0,
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_consentdes,Consentimento,,,,0,0,0,,,
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_consent,O participante (ou seu representante) forneceu consentimento para participar deste estudo.,"1, Sim | 0, Não, o participante não concordou em participar do estudo | 2, Não, o comitê de ética aprovou uma isenção de consentimento | 99, Desconhecido",Isso se refere ao fornecimento de consentimento informado pelo paciente ou seu representante para participação neste estudo.,Indique 'sim' se o paciente ou seu representante tiver fornecido seu consentimento informado para a participação neste estudo.,0,0,0,0,0,0
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_consent_date,Data de consentimento,,Isso se refere até o momento em que o consentimento informado foi dado para a inclusão dos participantes neste estudo.,Escreva a data em que o consentimento informado foi dado para a inclusão dos participantes neste estudo. Use formato dd/mm/yyyy.,0,0,0,0,0,
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_consent_who,Consentimento fornecido por,"1, Participante | 2, Pai/mãe/responsável | 3, Consultor | 4, Médico independente",Isso se refere a quem forneceu o consentimento para a participação neste estudo.,Selecione a opção mais apropriada que representa quem forneceu o consentimento para a participação neste estudo.,0,0,0,0,0,0
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_consent_whopg,Se os pais/responsáveis ​​fornecem consentimento: a criança ou jovem dá seu consentimento?,"1, Sim | 0, Não | 2, Não competente","Isso se refere ao consentimento dado por um menor ou adulto que não consegue consentir em seu próprio nome, para participar de um estudo. O consentimento deve ser acompanhado pelo consentimento de um pai ou responsável legal para a participação total no estudo.",Selecione a opção mais apropriada que representa se foi concedido consentimento para a participação neste estudo.,0,0,0,0,0,0
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_consent2des,"Uso secundário dos dados coletados, o participante concordou com as seguintes declarações:",,,,0,0,0,,,
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_consent_secrsch,"Uso futuro de dados pseudonimizados em pesquisas aprovadas eticamente, incluindo pesquisas em outros países","1, Sim | 0, Não",Refere-se ao consentimento para uso secundário futuro de dados pseudonimizados em pesquisas aprovadas eticamente,Esta é uma pergunta opcional de consentimento e não é necessária para a conclusão do restante do CRF.,0,0,0,0,0,0
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_consent_secprod,"Uso futuro de dados pseudonimizados para fabricar testes, tratamentos ou outros produtos, incluindo produtos comerciais","1, Sim | 0, Não","Refere-se ao consentimento para uso secundário futuro de dados pseudonimizados para fabricar testes, tratamentos ou outros produtos, incluindo produtos comerciais",Esta é uma pergunta opcional de consentimento e não é necessária para a conclusão do restante do CRF.,0,0,0,0,0,0
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_consent_secgen,"Uso futuro de dados genéticos pseudonimizados em pesquisas aprovadas eticamente, incluindo pesquisas em outros países","1, Sim | 0, Não",Refere-se ao consentimento para uso secundário futuro de dados genéticos pseudonimizados em pesquisas aprovadas eticamente,Esta é uma pergunta opcional de consentimento e não é necessária para a conclusão do restante do CRF.,0,0,0,0,0,0
