Microorganism,Code,Library,Type,Value,Translation Reviewers
Achromobacter,91620006.0,SNOMED,bacteria,1,0
Achromobacter xylosoxidans,413424009.0,SNOMED,bacteria,2,0
Acinetobacter,7757008.0,SNOMED,bacteria,3,0
Acinetobacter anitratus,82550008.0,SNOMED,bacteria,4,0
Acinetobacter baumannii,91288006.0,SNOMED,bacteria,5,0
Acinetobacter calcoaceticus,413398000.0,SNOMED,bacteria,6,0
Complexo Acinetobacter calcoaceticus-baumannii,113376007.0,SNOMED,bacteria,7,0
Acinetobacter johnsonii,252000.0,SNOMED,bacteria,8,0
Actinomyces israelii,46369004.0,SNOMED,bacteria,9,0
Aeromonas,88529008.0,SNOMED,bacteria,10,0
Agregatibacter,441718002.0,SNOMED,bacteria,11,0
Bactérias anaeróbicas,59343002.0,SNOMED,bacteria,12,0
Bacilo,44762009.0,SNOMED,bacteria,13,0
Bacillus anthracis,21927003.0,SNOMED,bacteria,14,0
Bacillus cereus,84408007.0,SNOMED,bacteria,15,0
Bacteroides fragilis,55247009.0,SNOMED,bacteria,16,0
Bacteroides thetaiotaomicron,34236001.0,SNOMED,bacteria,17,0
Bordetella pertussis,5247005.0,SNOMED,bacteria,18,0
Burkholderia,414324002.0,SNOMED,bacteria,19,0
Burkholderia cenocepacia,416941006.0,SNOMED,bacteria,20,0
Burkholderia cepacia,113669008.0,SNOMED,bacteria,21,0
Burkholderia pseudomallei,116399000.0,SNOMED,bacteria,22,0
Campylobacter,35408001.0,SNOMED,bacteria,23,0
Clamídia,16241000.0,SNOMED,bacteria,24,0
Chlamydophila pneumoniae,103514009.0,SNOMED,bacteria,25,0
Chryseobacterium indologenes,113549008.0,SNOMED,bacteria,26,0
Citrobacter,75972000.0,SNOMED,bacteria,27,0
Citrobacter braakii,114262000.0,SNOMED,bacteria,28,0
Citrobacter freundii,6265002.0,SNOMED,bacteria,29,0
Citrobacter koseri,114264004.0,SNOMED,bacteria,30,0
Clostridium botulinum,13080008.0,SNOMED,bacteria,31,0
Clostridium difficile,5933001.0,SNOMED,bacteria,32,0
Clostridium difficile (toxina positiva),736050006.0,SNOMED,bacteria,33,0
Clostridium tetani,30917009.0,SNOMED,bacteria,34,0
Staphylococcus coagulase negativa,116197008.0,SNOMED,bacteria,35,0
Bactérias coliformes,77309002.0,SNOMED,bacteria,36,0
Corinebactéria,77086004.0,SNOMED,bacteria,37,0
Corynebacterium amycolatum,113611002.0,SNOMED,bacteria,38,0
Corynebacterium pseudodiphtheriticum,12050008.0,SNOMED,bacteria,39,0
Corynebacterium pseudotuberculosis,55084001.0,SNOMED,bacteria,40,0
Corynebacterium striatum,63815007.0,SNOMED,bacteria,41,0
Corynebacterium ulcerans,103428000.0,SNOMED,bacteria,42,0
Corynebacterium xerose,27101006.0,SNOMED,bacteria,43,0
Criptococo,17579001.0,SNOMED,bacteria,44,0
Cryptococcus neoformans,67168003.0,SNOMED,bacteria,45,0
Delftia,416493002.0,SNOMED,bacteria,46,0
Delftia acidovorans,20432002.0,SNOMED,bacteria,47,0
Dermabacter,413976002.0,SNOMED,bacteria,48,0
Difteróide,54642001.0,SNOMED,bacteria,49,0
Eggerthella,414075007.0,SNOMED,bacteria,50,0
Elizabeth Kingia,426244005.0,SNOMED,bacteria,51,0
Bactérias entéricas,106544002.0,SNOMED,bacteria,52,0
Enterobactérias,58683007.0,SNOMED,bacteria,53,0
Enterobacter aerogenes,62592009.0,SNOMED,bacteria,54,0
Enterobacter asburiae,33115003.0,SNOMED,bacteria,55,0
Enterobacter bugandensis,114000000000000.0,SNOMED,bacteria,56,0
Enterobacter cloacae,14385002.0,SNOMED,bacteria,57,0
Complexo Enterobacter cloacae,414102007.0,SNOMED,bacteria,58,0
Enterobacter hormaechei,114454006.0,SNOMED,bacteria,59,0
Enterobacter kobei,114456008.0,SNOMED,bacteria,60,0
Enterobactérias,106544002.0,SNOMED,bacteria,61,0
Enterococos,2785000.0,SNOMED,bacteria,62,0
Enterococcus avium,87875008.0,SNOMED,bacteria,63,0
Enterococcus faecalis,78065002.0,SNOMED,bacteria,64,0
Enterococcus faecium,90272000.0,SNOMED,bacteria,65,0
Enterococcus raffinosus,103437000.0,SNOMED,bacteria,66,0
Escherichia,64735005.0,SNOMED,bacteria,67,0
Escherichia coli,112283007.0,SNOMED,bacteria,68,0
Francisella tularensis,51526001.0,SNOMED,bacteria,69,0
Fusobacterium nucleatum,32763000.0,SNOMED,bacteria,70,0
Bacilo Gram-Negativo,87172008.0,SNOMED,bacteria,71,0
Bacilo Gram-Positivo,83514008.0,SNOMED,bacteria,72,0
Coco Gram-Positivo,59206002.0,SNOMED,bacteria,73,0
Granulicatella adiacens,113713009.0,SNOMED,bacteria,74,0
Haemophilus,71268004.0,SNOMED,bacteria,75,0
Haemophilus ducreyi,64889004.0,SNOMED,bacteria,76,0
Haemophilus influenzae,44470000.0,SNOMED,bacteria,77,0
Haemophilus parainfluenzae,51593004.0,SNOMED,bacteria,78,0
Hafnia Alvei,76694001.0,SNOMED,bacteria,79,0
Helicobacter pylori,80774000.0,SNOMED,bacteria,80,0
Klebsiella,75032006.0,SNOMED,bacteria,81,0
Klebsiella aerogenes,62592009.0,SNOMED,bacteria,82,0
Klebsiella oxytoca,40886007.0,SNOMED,bacteria,83,0
Klebsiella pneumoniae,56415008.0,SNOMED,bacteria,84,0
"Klebsiella pneumoniae, ESBL",409801009.0,SNOMED,bacteria,85,0
Klebsiella varícola,431976004.0,SNOMED,bacteria,86,0
Lacticaseibacillus rhamnosus,113798001.0,SNOMED,bacteria,87,0
Legionela,7527002.0,SNOMED,bacteria,89,0
Legionella pneumophila,80897008.0,SNOMED,bacteria,90,0
Leptospira interrogans,116401006.0,SNOMED,bacteria,91,0
Listeria monocytogenes,36094007.0,SNOMED,bacteria,92,0
Staphylococcus aureus resistente à meticilina (MRSA),115329001.0,SNOMED,bacteria,93,0
Staphylococcus aureus suscetível à meticilina (MSSA),417943000.0,SNOMED,bacteria,94,0
Micrococo,52864008.0,SNOMED,bacteria,95,0
Micrococo luteus,48299003.0,SNOMED,bacteria,96,0
Mirabilis,79589007.0,SNOMED,bacteria,97,0
Moraxela,36361003.0,SNOMED,bacteria,98,0
Moraxella catarrhalis,24226003.0,SNOMED,bacteria,100,0
Morganela,50713005.0,SNOMED,bacteria,101,0
Morganella morganii,243301005.0,SNOMED,bacteria,102,0
Micobactéria,243368001.0,SNOMED,bacteria,103,0
Mycobacterium leprae,58242002.0,SNOMED,bacteria,104,0
Mycobacterium tuberculose,113861009.0,SNOMED,bacteria,105,0
"Mycobacterium, não-tuberculose",110379001.0,SNOMED,bacteria,106,0
Mycoplasma agalactiae,16377009.0,SNOMED,bacteria,107,0
Mycoplasma pneumoniae,58720004.0,SNOMED,bacteria,108,0
Neisseria meningitidis,17872004.0,SNOMED,bacteria,109,0
Asteróides Nocardia,30092002.0,SNOMED,bacteria,110,0
Nocardia brasiliensis,58970008.0,SNOMED,bacteria,111,0
Propionibactéria,34844008.0,SNOMED,bacteria,112,0
Propionibacterium acnes,39473003.0,SNOMED,bacteria,113,0
Proteu,50517009.0,SNOMED,bacteria,114,0
Proteus mirabilis,73457008.0,SNOMED,bacteria,115,0
Proteus vulgaris,45834001.0,SNOMED,bacteria,116,0
Providência rettgeri,14196002.0,SNOMED,bacteria,117,0
Providencia stuartii,1445008.0,SNOMED,bacteria,118,0
Pseudomonas,57032008.0,SNOMED,bacteria,119,0
Pseudomonas aeruginosa,52499004.0,SNOMED,bacteria,120,0
Pseudomonas fluorescentes,39289003.0,SNOMED,bacteria,121,0
Pseudomonas putida,68608003.0,SNOMED,bacteria,122,0
Raoultella,417468005.0,SNOMED,bacteria,123,0
Raoultella ornithinolytica,416832000.0,SNOMED,bacteria,124,0
Raoultella planticola,416264004.0,SNOMED,bacteria,125,0
Salmonela,27268008.0,SNOMED,bacteria,126,0
Salmonella hirschfeldii,32488009.0,SNOMED,bacteria,127,0
Serratia,42025004.0,SNOMED,bacteria,128,0
Serratia liquefaciens,23787004.0,SNOMED,bacteria,129,0
Serratia marcescens,33522002.0,SNOMED,bacteria,130,0
Serratia ureilitica,450416004.0,SNOMED,bacteria,131,0
Shigella,77352002.0,SNOMED,bacteria,132,0
Shigella boydii,55462008.0,SNOMED,bacteria,133,0
Shigella disenteriae,43612004.0,SNOMED,bacteria,134,0
Shigella flexneri,85729005.0,SNOMED,bacteria,135,0
