Condition,Code,Library,Selected,Charlson,Elixhauser,Value,Translation Reviewers
Insuficiencia renal aguda sobre crónica,236433006,SNOMED,1,1.0,1.0,1,0
Asplenia,707147002,SNOMED,1,,1.0,2,0
Fibrilación auricular,49436004,SNOMED,1,,1.0,3,0
Enfermedad autoinmune,85828009,SNOMED,1,,,4,0
Trastorno de la coagulación sanguínea,64779008,SNOMED,1,,,5,0
Miocardiopatía,85898001,SNOMED,1,,1.0,6,0
Enfermedad cerebrovascular,62914000,SNOMED,1,1.0,1.0,7,0
Enfermedad hematológica crónica,398983000,SNOMED,1,,,8,0
Infección crónica,177010002,SNOMED,1,,,9,0
Enfermedad renal crónica,709044004,SNOMED,1,1.0,1.0,10,0
Hepatitis viral crónica,10295004,SNOMED,1,,1.0,11,0
Enfermedad cardíaca crónica,128238001,SNOMED,1,,1.0,12,0
Trastorno inflamatorio crónico,128294001,SNOMED,1,,,13,0
Enfermedad pulmonar crónica,413839001,SNOMED,1,,1.0,14,0
Trastorno metabólico crónico,128289001,SNOMED,1,,1.0,15,0
Enfermedad cardíaca congénita,13213009,SNOMED,1,,1.0,16,0
Insuficiencia cardíaca congestiva,42343007,SNOMED,1,1.0,1.0,17,0
Demencia,52448006,SNOMED,1,1.0,1.0,18,0
Diabetes Mellitus (todos los tipos),73211009,SNOMED,1,1.0,1.0,19,0
enfermedad del higado,235856003,SNOMED,1,,1.0,20,0
Trastorno del metabolismo de los lípidos.,267431006,SNOMED,1,,1.0,21,0
Trastorno de la circulación pulmonar.,39785005,SNOMED,1,,1.0,22,0
Hipertensión esencial,59621000,SNOMED,1,,1.0,23,0
Trastorno de las válvulas cardíacas,368009,SNOMED,1,,1.0,24,0
hemiplejía,50582007,SNOMED,1,1.0,1.0,25,0
Enfermedad por el virus de la inmunodeficiencia humana [VIH],19030005,SNOMED,1,1.0,1.0,26,0
hipertiroidismo,34486009,SNOMED,1,,1.0,27,0
hipotiroidismo,40930008,SNOMED,1,,1.0,28,0
Inmunosupresión,38013005,SNOMED,1,,1.0,29,0
Enfermedad cardíaca isquémica,414545008,SNOMED,1,1.0,1.0,30,0
Leucemia,93143009,SNOMED,1,1.0,1.0,31,0
Linfoma maligno,118600007,SNOMED,1,1.0,1.0,32,0
Tumor carcinoide metastásico Cáncer,705176003,SNOMED,1,1.0,1.0,33,0
Enfermedad hepática moderada o grave,235856003 |Disorder of liver (disorder)|371924009 |Moderate to severe (qualifier value)|,SNOMED,1,1.0,1.0,34,0
Enfermedad renal moderada o grave,90708001 |Kidney disease (disorder)|371924009 |Moderate to severe (qualifier value)|,SNOMED,1,1.0,1.0,35,0
Mieloma múltiple,109989006,SNOMED,1,1.0,1.0,36,0
Infarto de miocardio,22298006,SNOMED,1,1.0,1.0,37,0
Trastornos neurodegenerativos,80690008,SNOMED,1,,1.0,38,0
Trastorno neurológico confirmado,407626008,SNOMED,1,,1.0,39,0
Obesidad,414916001,SNOMED,1,,1.0,40,0
Paraplejía,60389000,SNOMED,1,1.0,1.0,41,0
Enfermedad vascular periférica,400047006,SNOMED,1,1.0,1.0,42,0
Neoplasia maligna primaria,372087000,SNOMED,1,1.0,1.0,43,0
Trastorno por uso de sustancias psicoactivas,11061003,SNOMED,1,,1.0,44,0
Enfermedades raras y errores innatos del metabolismo,4121882,SNOMED,1,,,45,0
Psicosis reactivas,231437006,SNOMED,1,,1.0,46,0
Trombosis venosa profunda recurrente,710167004,SNOMED,1,,1.0,47,0
Trastornos reumatoides,396332003,SNOMED,1,1.0,1.0,48,0
De fumar,77176002,SNOMED,1,,1.0,49,0
Configuración de tumor sólido,369757002,SNOMED,1,1.0,1.0,50,0
Ataque,230690007,SNOMED,1,1.0,1.0,51,0
Trasplante presente,737294004,SNOMED,1,1.0,1.0,52,0
Tuberculosis,56717001,SNOMED,1,1.0,1.0,53,0
Enfermedad indiferenciada del tejido conectivo,239918008,SNOMED,1,,1.0,54,0
Osteoartritis,396275006,SNOMED,1,,,55,0
Artritis reumatoide,69896004,SNOMED,1,,,56,0
Esclerosis múltiple,24700007,SNOMED,1,,,57,0
enfermedad de alzheimer,26929004,SNOMED,1,,,58,0
