Microorganism,Code,Library,Type,Value,Selected,Translation Reviewers
acremonio,63996006.0,SNOMED,fungi,1,1,0
adenovirus,424470006.0,SNOMED,virus,2,1,0
Ancylostoma duodenal,81559006.0,SNOMED,"parasite, helminth",3,1,0
Ortohantavirus de los Andes,442001008.0,SNOMED,virus,4,1,0
Arenaviridae,243624009.0,SNOMED,virus,5,1,0
Ascaris lumbricoides,19061001.0,SNOMED,"parasite, helminth",6,1,0
Aspergilo,2429008.0,SNOMED,fungi,7,1,0
Aspergillus flavus,66821001.0,SNOMED,fungi,8,1,0
Aspergillus fumigatus,32684000.0,SNOMED,fungi,9,1,0
Complejo Aspergillus fumigatus,719029007.0,SNOMED,fungi,10,1,0
Aspergillus niger,89354002.0,SNOMED,fungi,11,1,0
Aspergillus terreus,26406003.0,SNOMED,fungi,12,1,0
Aspergillus versicolor,48315007.0,SNOMED,fungi,13,1,0
Astroviridae,424055004.0,SNOMED,virus,14,1,0
Influenza aviar A H5N1,772827006.0,SNOMED,virus,15,1,0
Influenza aviar A H7N9,609444009.0,SNOMED,virus,16,1,0
Blastocystis hominis,28923009.0,SNOMED,"parasite, Stramenopiles",17,1,0
Blastomyces dermatitidis,65615007.0,SNOMED,fungi,18,1,0
Bocavirus (Género),430902006.0,SNOMED,virus,19,1,0
brugia malayo,112443002.0,SNOMED,"parasite, helminth",20,1,0
Bunyaviridae (Familia),243615000.0,SNOMED,virus,21,1,0
Caliciviridae (Familia),243627002.0,SNOMED,virus,22,1,0
cándida,3265006.0,SNOMED,fungi,23,1,0
Candida albicans,53326005.0,SNOMED,fungi,24,1,0
Candida auris,3490000000000.0,SNOMED,fungi,25,1,0
Candida dubliniensis,115952006.0,SNOMED,fungi,26,1,0
Candida glabrata,444877006.0,SNOMED,fungi,27,1,0
Candida inconspicua,283871001.0,SNOMED,fungi,28,1,0
ortopsilosis por cándida,3690000000000.0,SNOMED,fungi,29,1,0
Candida parapsilosis,61302002.0,SNOMED,fungi,30,1,0
Candida tropicalis,47885008.0,SNOMED,fungi,31,1,0
Clavispora lusitaniae,50164000.0,SNOMED,fungi,32,1,0
Clonorchis sinensis,36559008.0,SNOMED,"parasite, helminth",33,1,0
Coccidioides,8672004.0,SNOMED,fungi,34,1,0
Coccidioides immitis,23439005.0,SNOMED,fungi,35,1,0
Coronaviridae (Familia),243607003.0,SNOMED,virus,36,1,0
