Form,Section,Variable,Type,Question,Answer Options,Validation,Minimum,Maximum,List,Skip Logic,Body System,Definition,Completion Guideline,Standardized Term Codelist,Standardized Term Code,Metathesaurus,Identifier,Research Category,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Chikungunya,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_Arbovirus,preset_Score_CharlsonCI,preset_Score_mSOFA,preset_Score_mSOFA_Dengue,preset_Recommended Outcomes_Dengue,preset_Populations_Paediatric,preset_Populations_Pregnancy,preset_User Generated CRF_Encephalitis,Form Translation Reviewers,Section Translation Reviewers,Question Translation Reviewers,Definition Translation Reviewers,Completion Guideline Translation Reviewers,Answer Options Translation Reviewers
présentation,,subjid,text,Numéro d'identification des participants (PIN),,,,,,,,Le numéro d'identification ou le PIN des participants est un numéro unique utilisé pour identifier les données du patient (participant).,Écrivez le numéro d'identification des participants (PIN).,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,0,,0,0,0,
présentation,CRITÈRES D'INCLUSION,inclu_disease,user_list,Infection suspectée ou confirmée,,,,,inclusion_Diseases,,,Cela fait référence à toute infection suspectée ou confirmée.,"Si plus d'une infection est suspectée, sélectionnez la section de test des agents pathogènes et complétez la section des agents de pathogène avec confirmation de laboratoire.",,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,0,0,0,0,0,
présentation,CRITÈRES D'INCLUSION,inclu_reason,radio,L'infection suspectée ou confirmée est-elle la raison de l'admission à l'hôpital?,"1, Oui | 0, Non | 99, Inconnu",,,,,,,Cela fait référence à l'infection suspectée ou confirmée par l'agent pathogène d'intérêt si la raison (indication) de l'admission à l'hôpital.,Indiquez «oui» si une infection suspectée ou confirmée par l'agent pathogène d'intérêt si la raison (indication) de l'admission à l'hôpital. Indiquez «non» si l'infection suspectée ou confirmée par l'agent pathogène d'intérêt n'est pas la raison (indication) de l'admission à l'hôpital.,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,0,0,0,0,0,0
présentation,CRITÈRES D'INCLUSION,inclu_case,radio,Statut de cas,"1, Confirmé | 2, Probable | 3, Suspecté | 4, Écarté | 5, Erreur",,,,,,,"Confirmé désigne un cas confirmé en laboratoire et pouvant répondre aux critères cliniques décrits dans la définition de cas. Probable désigne une maladie cliniquement compatible, épidémiologiquement liée à un cas confirmé, sans confirmation en laboratoire de l'infection par l'agent pathogène d'intérêt. Suspecté désigne une maladie cliniquement compatible, sans lien épidémiologique ni confirmation en laboratoire. Rejeté désigne un patient dont le test de laboratoire est négatif et qui ne répond pas aux critères d'un cas suspect, probable ou confirmé. ","Sélectionnez l'option la plus appropriée qui correspond à l'état du cas. ",,,,,,,,,1.0,1.0,1.0,,,,,,,,,,0,0,0,0,0,0
présentation,CRITÈRES D'INCLUSION,inclu_testreason,radio,Raison pour laquelle le patient a été testé,"1, Symptomatique | 2, Asymptomatique, contact tracé | 3, Asymptomatique, campagne de dépistage de masse | 4, Non testé",,,,,,,Cela fait référence à la raison pour laquelle le patient a été testé pour le pathogène d'intérêt.,Sélectionnez l'option la plus appropriée qui correspond à la raison pour laquelle le patient a été testé pour le pathogène d'intérêt.,,,,,,,,,,1.0,1.0,,,,,,,,,,0,0,0,0,0,0
présentation,CRITÈRES D'INCLUSION,inclu_testreason_otth,text,Précisez autre raison,,,,,,[inclu_testreason]='88',,Il s'agit de la raison pour laquelle le patient a été testé pour l'agent pathogène d'intérêt.,Sélectionnez l'option la plus appropriée qui correspond à la raison pour laquelle le patient a été testé pour l'agent pathogène d'intérêt.,,,,,,,,,,1.0,1.0,,,,,,,,,,0,0,0,0,0,
présentation,CRITÈRES D'INCLUSION,inclu_consentdes,descriptive,Consentement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
présentation,CRITÈRES D'INCLUSION,inclu_consent,radio,Le participant (ou leur représentant) a donné son consentement à participer à cette étude.,"1, Oui | 0, Non, le participant n'a pas accepté de participer à l'étude | 2, Non, le comité d'éthique a approuvé une dérogation au consentement | 99, Inconnu",,,,,,,Cela fait référence à la fourniture d'un consentement éclairé par le patient ou à leur représentant pour participer à cette étude.,Indiquez «oui» si le patient ou son représentant a donné son consentement éclairé pour la participation à cette étude.,SNOMED,"61861000000100,  Consent (record artifact)","C5702721, Consent (record artifact)",,,,,,,,,,,,,,,,,,0,0,0,0,0,0
présentation,CRITÈRES D'INCLUSION,inclu_consent_date,date_dmy,Date de consentement,,date_dmy,,today,,[inclu_consent]='1',,Cela se réfère à ce jour à laquelle un consentement éclairé a été donné pour l'inclusion des participants dans cette étude.,Écrivez la date à laquelle le consentement éclairé a été donné pour l'inclusion des participants dans cette étude. Utilisez le format DD / MM / YYYY.,,,"C2985782, Informed Consent Date",,,,,,,,,,,,,,,,,,0,0,0,0,0,
présentation,CRITÈRES D'INCLUSION,inclu_consent_who,radio,Consentement fourni par,"1, Participant | 2, Parent/tuteur | 3, Personne consultée | 4, Clinicien indépendant ",,,,,[inclu_consent]='1',,Cela fait référence à qui a donné le consentement à la participation à cette étude.,Sélectionnez l'option la plus appropriée qui représente qui a donné le consentement à la participation à cette étude.,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
