Condition,Code,Library,Selected,Charlson,Elixhauser,Value,Translation Reviewers
Insuffisance rénale aiguë ou chronique,236433006,SNOMED,1,1.0,1.0,1,0
Asplénie,707147002,SNOMED,1,,1.0,2,0
Fibrillation auriculaire,49436004,SNOMED,1,,1.0,3,0
Maladie auto-immune,85828009,SNOMED,1,,,4,0
Trouble de la coagulation sanguine,64779008,SNOMED,1,,,5,0
Cardiomyopathie,85898001,SNOMED,1,,1.0,6,0
Maladie cérébrovasculaire,62914000,SNOMED,1,1.0,1.0,7,0
Maladie hématologique chronique,398983000,SNOMED,1,,,8,0
Infection chronique,177010002,SNOMED,1,,,9,0
Maladie rénale chronique,709044004,SNOMED,1,1.0,1.0,10,0
Hépatite virale chronique,10295004,SNOMED,1,,1.0,11,0
Maladie cardiaque chronique,128238001,SNOMED,1,,1.0,12,0
Trouble inflammatoire chronique,128294001,SNOMED,1,,,13,0
Maladie pulmonaire chronique,413839001,SNOMED,1,,1.0,14,0
Trouble métabolique chronique,128289001,SNOMED,1,,1.0,15,0
Cardiopathie congénitale,13213009,SNOMED,1,,1.0,16,0
Insuffisance cardiaque congestive,42343007,SNOMED,1,1.0,1.0,17,0
Démence,52448006,SNOMED,1,1.0,1.0,18,0
Diabète sucré (tous les types),73211009,SNOMED,1,1.0,1.0,19,0
Maladie du foie,235856003,SNOMED,1,,1.0,20,0
Trouble du métabolisme lipidique,267431006,SNOMED,1,,1.0,21,0
Trouble de la circulation pulmonaire,39785005,SNOMED,1,,1.0,22,0
Hypertension essentielle,59621000,SNOMED,1,,1.0,23,0
Trouble des valvules cardiaques,368009,SNOMED,1,,1.0,24,0
Hémiplégie,50582007,SNOMED,1,1.0,1.0,25,0
Maladie du virus de l'immunodéficience humaine [VIH],19030005,SNOMED,1,1.0,1.0,26,0
Hyperthyroïdie,34486009,SNOMED,1,,1.0,27,0
Hypothyroïdie,40930008,SNOMED,1,,1.0,28,0
Immunosuppression,38013005,SNOMED,1,,1.0,29,0
Cardiopathie ischémique,414545008,SNOMED,1,1.0,1.0,30,0
Leucémie,93143009,SNOMED,1,1.0,1.0,31,0
Lymphome malin,118600007,SNOMED,1,1.0,1.0,32,0
Tumeur carcinoïde métastatique Cancer,705176003,SNOMED,1,1.0,1.0,33,0
Maladie hépatique modérée ou grave,235856003 |Disorder of liver (disorder)|371924009 |Moderate to severe (qualifier value)|,SNOMED,1,1.0,1.0,34,0
Maladie rénale modérée ou sévère,90708001 |Kidney disease (disorder)|371924009 |Moderate to severe (qualifier value)|,SNOMED,1,1.0,1.0,35,0
Myélome multiple,109989006,SNOMED,1,1.0,1.0,36,0
Infarctus du myocarde,22298006,SNOMED,1,1.0,1.0,37,0
Troubles neurodégénératifs,80690008,SNOMED,1,,1.0,38,0
Trouble neurologique confirmé,407626008,SNOMED,1,,1.0,39,0
Obésité,414916001,SNOMED,1,,1.0,40,0
Paraplégie,60389000,SNOMED,1,1.0,1.0,41,0
Maladie vasculaire périphérique,400047006,SNOMED,1,1.0,1.0,42,0
Tumeur maligne primitive,372087000,SNOMED,1,1.0,1.0,43,0
Trouble lié à l'usage de substances psychoactives,11061003,SNOMED,1,,1.0,44,0
Maladies rares et erreurs innées du métabolisme,4121882,SNOMED,1,,,45,0
Psychoses réactives,231437006,SNOMED,1,,1.0,46,0
Thrombose veineuse profonde récurrente,710167004,SNOMED,1,,1.0,47,0
Troubles rhumatoïdes,396332003,SNOMED,1,1.0,1.0,48,0
Fumeur,77176002,SNOMED,1,,1.0,49,0
Configuration de tumeur solide,369757002,SNOMED,1,1.0,1.0,50,0
Accident vasculaire cérébral,230690007,SNOMED,1,1.0,1.0,51,0
Transplantation présente,737294004,SNOMED,1,1.0,1.0,52,0
Tuberculose,56717001,SNOMED,1,1.0,1.0,53,0
Maladie du tissu conjonctif indifférenciée,239918008,SNOMED,1,,1.0,54,0
Arthrose,396275006,SNOMED,1,,,55,0
Polyarthrite rhumatoïde,69896004,SNOMED,1,,,56,0
Sclérose en plaques,24700007,SNOMED,1,,,57,0
La maladie d'Alzheimer,26929004,SNOMED,1,,,58,0
