Site,Code,Library,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics+extended,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_UserGenerated_Oropouche,preset_Score_CharlsonCI,preset_Module_Pregmpoxnompox,preset_Module_Pregnancy,preset_Module_Neonates,preset_Module_Paediatric,preset_Module_ExtendedMpoxPregnan,preset_Recommended Outcomes_Dengue,preset_Hospitalsed Outcomes_Dengue,preset_Early Stage Outcomes_Dengue,Value,Translation Reviewers
Peau,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,1,1,0
Pétéchies,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,1,2,0
Nez,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,1,3,0
Gencives,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,1,4,0
Tractus gastro-intestinal,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,1,5,0
Voies urinaires,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,1,6,0
Vagin,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,1,7,0
Intracrânien,,,,,,,,,,,,,,,,,,,1,1,1,8,0
Intraspinal,,,,,,,,,,,,,,,,,,,1,1,1,9,0
Intraoculaire,,,,,,,,,,,,,,,,,,,1,1,1,10,0
Rétropéritonéal,,,,,,,,,,,,,,,,,,,1,1,1,11,0
Intra-articulaire,,,,,,,,,,,,,,,,,,,1,1,1,12,0
Péricardique,,,,,,,,,,,,,,,,,,,1,1,1,13,0
Intramusculaire (avec syndrome des loges),,,,,,,,,,,,,,,,,,,1,1,1,14,0
