Drugs,Code,Library,Selected,preset_Respiratory,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_User Generated CRF_Encephalitis,Comment,Value,Translation Reviewers
Acide acétylsalicylique (aspirine),"B01AC06 "," ATC     ",1,,,1.0,1.0,,,,,1.0,,1,0
Altéplase (Activase),B01AD02," ATC     ",,,,,,,,,,,,2,0
Apixaban (Eliquis),"B01AF02 "," ATC     ",1,,1.0,1.0,1.0,,,,,1.0,,3,0
Argatroban (Acova),B01AE03," ATC     "," ",,,,,,,,,,,4,0
Bivalirudine (Angiomax),"B01AE06 "," ATC     "," ",,,,,,,,,,,5,0
Clopidogrel (Plavix),"B01AC04 "," ATC     ",1,,,,,,,,,1.0,,6,0
Dabigatran étexilate (Pradaxa),"B01AE07 "," ATC     ",1,,,,,,,,,1.0,,7,0
Daltéparine (Fragmin),"B01AB04 "," ATC     "," ",,,,,,,,,,,8,0
Désirudine (Iprivask),B01AE01," ATC     "," ",,,,,,,,,,,9,0
"Édoxaban (Savaysa, Lixiana)","B01AF03 "," ATC     "," ",,,,,,,,,,,10,0
Énoxaparine (Lovenox),"B01AB05 "," ATC     ",1,,1.0,1.0,1.0,,,1.0,,1.0,,11,0
Fondaparinux (Arixtra),"B01AX05 "," ATC     "," ",,,,,,,,,,,12,0
Héparine (héparine non fractionnée),"B01AB01 "," ATC     ",1,,,1.0,1.0,,,1.0,,1.0,,13,0
Lépirudine (Refludan),B01AE02," ATC     "," ",,,,,,,,,,,14,0
Rivaroxaban (Xarelto),"B01AF01 "," ATC     ",1,,1.0,,,,,,,1.0,,15,0
Streptokinase,B01AD01," ATC     ",,,,,,,,,,,,16,0
Ticagrélor (Brilinta),"B01AC24 "," ATC     ",1,,,,,,,,,1.0,,17,0
Ticlopidine (Ticlid,B01AC05,ATC,,,,,,,,,,,,18,0
Tinzaparine (Innohep),B01AB10," ATC     "," ",,,,,,,,,,,19,0
Urokinase (Kinlytique),B01AD04," ATC     ",,,,,,,,,,,,20,0
"Warfarine (Coumadin, Jantoven)","B01AA03 "," ATC     ",1,,,1.0,1.0,,,,,1.0,,21,0
