Drugs,Code,Library,Selected,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Syndromic CRF_ARI,preset_User Generated CRF_Encephalitis,Unnamed: 8,Value,Translation Reviewers
"Acide acétylsalicylique (Aspirine, Ascriptine, Ecotrin)",N02BA01," ATC     ",1,1,1,1,1.0,,1,0
Célécoxib (Celebrex)," M01AH01 "," ATC     ",1,1,1,1,1.0,,2,0
"Diclofénac (Voltaren, Cataflam)"," M01AB05 "," ATC     ",1,1,1,1,1.0,,3,0
Étoricoxib (Arcoxia)," M01AH05 "," ATC     "," "," "," "," ",,,4,0
"Flurbiprofène (Ansaid, Ocufen)"," M01AE09 "," ATC     "," "," "," "," ",1.0,,5,0
"Ibuprofène (Advil, Motrin)"," M01AE01 "," ATC     ",1,1,1,1,1.0,,6,0
Indométacine (Indocine)," M01AB01 "," ATC     ",1,1,1,1,1.0,,7,0
"Kétoprofène (Orudis, Oruvail)"," M01AE03 "," ATC     "," "," "," "," ",,,8,0
Kétorolac (Toradol)," M01AB15 "," ATC     "," "," "," "," ",,,9,0
Acide méfénamique (Ponstel)," M01AG01 "," ATC     "," "," "," "," ",1.0,,10,0
Méloxicam (Mobic)," M01AC06 "," ATC     "," "," "," "," ",,,11,0
Nabumétone (Relafen)," M01AX01 "," ATC     "," "," "," "," ",,,12,0
"Naproxène (Aleve, Naprosyn)"," M01AE02 "," ATC     ",1,1,1,1,1.0,,13,0
Piroxicam (Feldène)," M01AC01 "," ATC     "," "," ",," ",,,14,0
Sulindac (Clinoril)," M01AB02 "," ATC     "," "," ",," ",,,15,0
