Sequelae,Code,Selected,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Value,Translation Reviewers
Cécité,,1.0,1.0,1.0,1.0,,1,0
Effets cardiovasculaires,,,,,,1.0,2,0
Diminution de la vision,,1.0,1.0,1.0,1.0,,3,0
Dépression,,1.0,1.0,1.0,1.0,,4,0
Dyspareunie,,1.0,1.0,1.0,1.0,,5,0
Conséquence immunologique,,,,,,1.0,6,0
Complications neurologiques,,,,,,1.0,7,0
Impacts psychologiques,,,,,,1.0,8,0
Sténose rectale,,1.0,1.0,1.0,1.0,,9,0
Complications respiratoires,,,,,,1.0,10,0
Effets systémiques,,,,,,1.0,11,0
Sténose urétrale,,1.0,1.0,1.0,1.0,,12,0
Sténose vaginale,,1.0,1.0,1.0,1.0,,13,0
