Disease,Code,Library,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_UserGenerated_Oropouche,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Syndromic CRF_ARI,preset_User Generated CRF_Encephalitis,preset_ARChetype Disease CRF_Chikungunya,Value,Translation Reviewers
Adénovirus,,,,,,,,1.0,,,,,,1.0,,1,0
Infection par le virus des Andes (hantavirus),359761005,SNOMED,,,,,,,,1.0,,,,,,2,0
Fièvre hémorragique argentine (virus Junin),58868000,SNOMED,,,,,,,,1.0,,,,,,3,0
Grippe aviaire A H7N9/ H5N1/ H5N8/ H7N7,NEW CODE (609444009 | Influenza A virus subtype H7N9 (organism) |772827006 | Influenza A virus subtype H5N1 (organism) |715346008 | Influenza A virus subtype H7N7 (organism) |708527000 | Influenza A virus subtype H5N8 (organism) |,,,,,,,1.0,,,,,,,,4,0
Infection bactérienne,87628006,SNOMED,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,5,0
Fièvre hémorragique bolivienne (virus Machupo),67247008,SNOMED,,,,,,,,1.0,,,,1.0,,6,0
COVID-19 (SRAS-CoV-2),840539006,SNOMED,,1.0,,,,1.0,,,,,1.0,,,7,0
Varicelle (varicelle),58750007,SNOMED,,,,1.0,1.0,,,,1.0,,,1.0,,8,0
Fièvre hémorragique de Crimée-Congo (FHCC),43489008,SNOMED,,,,,,,,1.0,,,,1.0,,9,0
Dengue,38362002,SNOMED,,,1.0,,,,,1.0,,1.0,,1.0,,10,0
Maladie à virus Ebola (MVE),37109004,SNOMED,,,,,,,,1.0,,,,1.0,,11,0
Entérovirus,53648006,SNOMED,,,,,,,,,,,,1.0,,12,0
Exposition à un agent CBRN,,,,,,,,,,,,,,,,13,0
Exposition à une énergie nocive,,,,,,,,,,,,,,,,14,0
HSV,88594005,SNOMED,,,,,,,,,,,,1.0,,15,0
Hépatite,40468003,SNOMED,,,1.0,,,,,,,1.0,,,,16,0
Infection par le virus de l'herpès simplex (HSV),88594005,SNOMED,,,,1.0,1.0,,,,1.0,,,,,17,0
Infection par le virus de l'immunodéficience humaine (infection par le VIH),86406008,SNOMED,,,,1.0,1.0,,,,1.0,,,1.0,,18,0
Grippe A H1N1,442352004,SNOMED,,,,,,,,,,,,,,19,0
Grippe A H5N1,772827006,SNOMED,,,,,,,,,,,,,,20,0
Grippe A H5N8,708527000,SNOMED,,,,,,,,,,,,,,21,0
Grippe A H7N7,715346008,SNOMED,,,,,,,,,,,,,,22,0
Grippe A H7N9,609444009,SNOMED,,,,,,,,,,,,,,23,0
Virus de la grippe A,407479009,SNOMED,,,,,,,,,,,,,,24,0
Virus de la grippe B,407480007,SNOMED,,,,,,,,,,,,,,25,0
Virus de la grippe,725894000,SNOMED,,,,,,,,,,,,,,26,0
JE,52947006,SNOMED,,,,,,,,,,,,1.0,,27,0
Fièvre de Lassa,19065005,SNOMED,,,,,,,,1.0,,,,1.0,,28,0
Maladie à virus Lujo,721784007,SNOMED,,,,,,,,1.0,,,,,,29,0
Maladie à virus de Marburg (MVD),77503002,SNOMED,,,,,,,,1.0,,,,,,30,0
Rougeole,14189004,SNOMED,,,,,,,,,,,,1.0,,31,0
Syndrome respiratoire du Moyen-Orient (MERS),6.51E+11,SNOMED,,,,,,,,,,,,1.0,,32,0
Mpox,359814004,SNOMED,1.0,,,1.0,1.0,,,,1.0,,,,,33,0
Nipah,406597005,SNOMED,,,,,,,,,,,,1.0,,34,0
Oropouche,72880002,SNOMED,,,,,,,1.0,,,1.0,,1.0,,35,0
Peste pneumonique (Yersinia pestis),38976008,SNOMED,,,,,,,,,,,,1.0,,36,0
Infection par le virus respiratoire syncytial (VRS),55256001,SNOMED,,,,,,,,,,,,1.0,,37,0
Hépatite pédiatrique aiguë sévère,37871000 | Acute hepatitis (disorder) |24484000 | Severe (severity modifier) (qualifier value) |255398004 | Childhood (qualifier value) |,SNOMED,,,,,,,,,,,,,,38,0
Syndrome respiratoire aigu sévère (SRAS-pas COVID-19),398447004,SNOMED,,,,,,,,,,,,,,39,0
Syndrome de fièvre sévère avec thrombocytopénie (SFTS),722401001,SNOMED,,,,,,,,,,,,,,40,0
Grippe indéfinie,155559006,SNOMED,,,,,,,,,,,,,,41,0
Fièvre de la vallée du Rift,,,,,,,,,,,,,,1.0,,42,0
Pneumonie communautaire,,,,,,,,,,,,,1.0,1.0,,43,0
Pneumonie nosocomiale,,,,,,,,,,,,,1.0,,,44,0
Maladie semblable à la grippe,,,,,,,,,,,,,1.0,,,45,0
IRA virale,,,,,,,,,,,,,1.0,,,46,0
Chikungunya,,,,,,,,,,,,1.0,,,1.0,47,0
Zika,,,,,,,,,,,,1.0,,,,48,0
