Microorganism,Code,Library,Type,Value,Selected,Translation Reviewers
Acrémonium,63996006.0,SNOMED,fungi,1,1,0
Adénoviridés,424470006.0,SNOMED,virus,2,1,0
Ancylostome duodénal,81559006.0,SNOMED,"parasite, helminth",3,1,0
Orthohantavirus des Andes,442001008.0,SNOMED,virus,4,1,0
Arénaviridés,243624009.0,SNOMED,virus,5,1,0
Ascaris lumbricoides,19061001.0,SNOMED,"parasite, helminth",6,1,0
Aspergille,2429008.0,SNOMED,fungi,7,1,0
Aspergillus flavus,66821001.0,SNOMED,fungi,8,1,0
Aspergillus fumigatus,32684000.0,SNOMED,fungi,9,1,0
Complexe Aspergillus fumigatus,719029007.0,SNOMED,fungi,10,1,0
Aspergillus niger,89354002.0,SNOMED,fungi,11,1,0
Aspergillus terreus,26406003.0,SNOMED,fungi,12,1,0
Aspergillus versicolor,48315007.0,SNOMED,fungi,13,1,0
Astroviridés,424055004.0,SNOMED,virus,14,1,0
Grippe aviaire A H5N1,772827006.0,SNOMED,virus,15,1,0
Grippe aviaire A H7N9,609444009.0,SNOMED,virus,16,1,0
Blastocystis hominis,28923009.0,SNOMED,"parasite, Stramenopiles",17,1,0
Blastomyces dermatitidis,65615007.0,SNOMED,fungi,18,1,0
Bocavirus (genre),430902006.0,SNOMED,virus,19,1,0
Brugia malais,112443002.0,SNOMED,"parasite, helminth",20,1,0
Bunyaviridae (famille),243615000.0,SNOMED,virus,21,1,0
Caliciviridae (famille),243627002.0,SNOMED,virus,22,1,0
Candidose,3265006.0,SNOMED,fungi,23,1,0
Candida albicans,53326005.0,SNOMED,fungi,24,1,0
Candida auris,3490000000000.0,SNOMED,fungi,25,1,0
Candida dubliniensis,115952006.0,SNOMED,fungi,26,1,0
Candida glabrata,444877006.0,SNOMED,fungi,27,1,0
Candida inconspicua,283871001.0,SNOMED,fungi,28,1,0
Orthopsilose à Candida,3690000000000.0,SNOMED,fungi,29,1,0
Parapsilose à Candida,61302002.0,SNOMED,fungi,30,1,0
Candida tropicale,47885008.0,SNOMED,fungi,31,1,0
Clavispora lusitaniae,50164000.0,SNOMED,fungi,32,1,0
Clonorchis sinensis,36559008.0,SNOMED,"parasite, helminth",33,1,0
Coccidioides,8672004.0,SNOMED,fungi,34,1,0
Coccidioides immitis,23439005.0,SNOMED,fungi,35,1,0
Coronaviridae (famille),243607003.0,SNOMED,virus,36,1,0
Virus de la fièvre hémorragique de Crimée-Congo (CCHF),79875007.0,SNOMED,virus,37,1,0
Cryptococcus gattii,450862004.0,SNOMED,fungi,38,1,0
Cryptococcus néoformans,67168003.0,SNOMED,fungi,39,1,0
Cryptosporidium,83821001.0,SNOMED,"parasite, protozoa",40,1,0
Cryptosporidium hominis,417722006.0,SNOMED,"parasite, protozoa",41,1,0
Cryptosporidium parvum,51504002.0,SNOMED,"parasite, protozoa",42,1,0
Curvulaire lunaire,33165007.0,SNOMED,fungi,43,1,0
Cyclospora,103560006.0,SNOMED,"parasite, protozoa",44,1,0
Cyclospora cayetanensis,103561005.0,SNOMED,"parasite, protozoa",45,1,0
Cytomégalovirus,407444007.0,SNOMED,virus,46,1,0
Deltavirus,83617006.0,SNOMED,virus,47,1,0
Virus de la dengue,34348001.0,SNOMED,virus,48,1,0
Diphyllobothrium latum,40406002.0,SNOMED,"parasite, helminth",49,1,0
Dracunculus medinensis,3824001.0,SNOMED,"parasite, helminth",50,1,0
Virus Ebola,424206003.0,SNOMED,virus,51,1,0
Échinococcus granulosus,243672005.0,SNOMED,"parasite, helminth",52,1,0
Entamoeba,38324000.0,SNOMED,"parasite, protozoa",53,1,0
Entamoeba dispar,415987008.0,SNOMED,"parasite, protozoa",54,1,0
