Sample_Type,Code,Library,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Value,Translation Reviewers
Liquide amniotique,TEMP,TEMP,,,,,,,,,1,0
BAL (Lavage Broncho-Alvéolaire),TEMP,TEMP,1.0,1.0,,,,1.0,,1.0,2,0
Sang,TEMP,TEMP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0
Lait maternel,TEMP,TEMP,,,,,,,,,4,0
Écouvillon buccal,TEMP,TEMP,,,,1.0,1.0,,1.0,,5,0
LCR (Liquide Cérébrospinal),TEMP,TEMP,,,1.0,1.0,1.0,,1.0,,6,0
Écouvillonnage combiné nasal/NP + gorge,TEMP,TEMP,1.0,1.0,,,,1.0,,1.0,7,0
ETA (aspiration endotrachéale),TEMP,TEMP,1.0,1.0,,,,1.0,,1.0,8,0
Écouvillon oculaire,TEMP,TEMP,,,,1.0,1.0,,1.0,1.0,9,0
Fèces/écouvillonnage rectal,TEMP,TEMP,,,,1.0,1.0,,1.0,,10,0
Écouvillonnage de lésion/croûte (peau),TEMP,TEMP,,,,1.0,1.0,,1.0,,11,0
Écouvillon nasal/NP,TEMP,TEMP,1.0,1.0,,,,1.0,,1.0,12,0
Sang du nouveau-né,TEMP,TEMP,,,1.0,,,,,,13,0
Sperme,TEMP,TEMP,,,,1.0,1.0,,1.0,,14,0
Expectorations,TEMP,TEMP,1.0,1.0,,,,1.0,,1.0,15,0
Échantillon de selles,TEMP,TEMP,,,,,,,,,16,0
Écouvillonnage de la gorge,TEMP,TEMP,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,17,0
Écouvillon urétral,TEMP,TEMP,,,,,,,,,18,0
Urine,TEMP,TEMP,,,,1.0,1.0,,1.0,,19,0
Écouvillon vaginal,TEMP,TEMP,,,,1.0,1.0,,1.0,,20,0
