Form,Section,Variable,Type,Question,Answer Options,Validation,Minimum,Maximum,List,Skip Logic,Body System,Definition,Completion Guideline,Standardized Term Codelist,Standardized Term Code,Metathesaurus,Identifier,Research Category,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Chikungunya,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_Arbovirus,preset_Score_CharlsonCI,preset_Score_mSOFA,preset_Score_mSOFA_Dengue,preset_Recommended Outcomes_Dengue,preset_Populations_Paediatric,preset_Populations_Pregnancy,preset_User Generated CRF_Encephalitis,Form Translation Reviewers,Section Translation Reviewers,Question Translation Reviewers,Definition Translation Reviewers,Completion Guideline Translation Reviewers,Answer Options Translation Reviewers
apresentação,,subjid,text,Número de identificação do participante (PIN),,,,,,,,O número de identificação do participante ou o PIN é um número exclusivo usado para identificar os dados do paciente (participante).,Escreva o número de identificação do participante (PIN).,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,0,,0,0,0,
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_disease,user_list,Infecção suspeita ou confirmada,,,,,inclusion_Diseases,,,Isso se refere a qualquer infecção suspeita ou confirmada.,"Se houver suspeita de mais de uma infecção, selecione a mais provável e complete a seção de teste de patógenos com confirmação de laboratório.",,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,0,0,0,0,0,
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_reason,radio,A infecção suspeita ou confirmada é o motivo da entrada hospitalar?,"1, Sim | 0, Não | 99, Desconhecido",,,,,,,Isso refere -se a se a infecção suspeita ou confirmada com o patógeno de interesse se o motivo (indicação) para a admissão hospitalar.,"Indique 'sim' se suspeita ou confirmada infecção com o patógeno de interesse, se o motivo (indicação) para a admissão hospitalar. Indique 'não' se a infecção suspeita ou confirmada com o patógeno de interesse não for o motivo (indicação) para a admissão hospitalar.",,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,0,0,0,0,0,0
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_case,radio,Status do caso,"1, Confirmado | 2, Provável | 3, Suspeito | 4, Descartado | 5, Erro",,,,,,,"Confirmado refere-se a um caso confirmado em laboratório e que pode cumprir os critérios clínicos descritos na definição do caso. Provável refere-se a uma doença clinicamente compatível que está epidemiologicamente ligada a um caso confirmado sem confirmação laboratorial de infecção pelo patógeno de interesse. Suspeito refere-se a uma doença clinicamente compatível sem ligação epidemiológica ou confirmação laboratorial. Descartado refere-se a um paciente com um teste laboratorial negativo e que não cumpriu os critérios para um caso suspeito, provável ou confirmado. ","Selecione a opção mais adequada que representa o status do caso. ",,,,,,,,,1.0,1.0,1.0,,,,,,,,,,0,0,0,0,0,0
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_testreason,radio,Razão pela qual o paciente foi testado,"1, Sintomático | 2, Assintomático, contato rastreado | 3, Assintomático, campanha de testagem em massa | 4, Não testado",,,,,,,Isso se refere à razão pela qual o paciente foi testado para o patógeno de interesse.,Selecione a opção mais apropriada que corresponde ao motivo pelo qual o paciente foi testado para o patógeno de interesse.,,,,,,,,,,1.0,1.0,,,,,,,,,,0,0,0,0,0,0
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_testreason_otth,text,Especifique outro motivo,,,,,,[inclu_testreason]='88',,Refere-se ao motivo pelo qual o paciente foi testado para o patógeno de interesse.,Selecione a opção mais adequada que corresponde ao motivo pelo qual o paciente foi testado para o patógeno de interesse.,,,,,,,,,,1.0,1.0,,,,,,,,,,0,0,0,0,0,
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_consentdes,descriptive,Consentimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_consent,radio,O participante (ou seu representante) forneceu consentimento para participar deste estudo.,"1, Sim | 0, Não, o participante não concordou em participar do estudo | 2, Não, o comitê de ética aprovou uma isenção de consentimento | 99, Desconhecido",,,,,,,Isso se refere ao fornecimento de consentimento informado pelo paciente ou seu representante para participação neste estudo.,Indique 'sim' se o paciente ou seu representante tiver fornecido seu consentimento informado para a participação neste estudo.,SNOMED,"61861000000100,  Consent (record artifact)","C5702721, Consent (record artifact)",,,,,,,,,,,,,,,,,,0,0,0,0,0,0
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_consent_date,date_dmy,Data de consentimento,,date_dmy,,today,,[inclu_consent]='1',,Isso se refere até o momento em que o consentimento informado foi dado para a inclusão dos participantes neste estudo.,Escreva a data em que o consentimento informado foi dado para a inclusão dos participantes neste estudo. Use formato dd/mm/yyyy.,,,"C2985782, Informed Consent Date",,,,,,,,,,,,,,,,,,0,0,0,0,0,
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_consent_who,radio,Consentimento fornecido por,"1, Participante | 2, Pai/mãe/responsável | 3, Consultor | 4, Médico independente",,,,,[inclu_consent]='1',,Isso se refere a quem forneceu o consentimento para a participação neste estudo.,Selecione a opção mais apropriada que representa quem forneceu o consentimento para a participação neste estudo.,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_consent_whopg,radio,Se os pais/responsáveis ​​fornecem consentimento: a criança ou jovem dá seu consentimento?,"1, Sim | 0, Não | 2, Não competente",,,,,[inclu_consent_who]='2',,"Isso se refere ao consentimento dado por um menor ou adulto que não consegue consentir em seu próprio nome, para participar de um estudo. O consentimento deve ser acompanhado pelo consentimento de um pai ou responsável legal para a participação total no estudo.",Selecione a opção mais apropriada que representa se foi concedido consentimento para a participação neste estudo.,,,"C5205794, Informed Assent",,,,,,,,,,,,,,,,,,0,0,0,0,0,0
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_consent2des,descriptive,"Uso secundário dos dados coletados, o participante concordou com as seguintes declarações:",,,,,,[inclu_consent]='1',,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_consent_secrsch,radio,"Uso futuro de dados pseudonimizados em pesquisas aprovadas eticamente, incluindo pesquisas em outros países","1, Sim | 0, Não",,,,,[inclu_consent]='1',,Refere-se ao consentimento para uso secundário futuro de dados pseudonimizados em pesquisas aprovadas eticamente,Esta é uma pergunta opcional de consentimento e não é necessária para a conclusão do restante do CRF.,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_consent_secprod,radio,"Uso futuro de dados pseudonimizados para fabricar testes, tratamentos ou outros produtos, incluindo produtos comerciais","1, Sim | 0, Não",,,,,[inclu_consent]='1',,"Refere-se ao consentimento para uso secundário futuro de dados pseudonimizados para fabricar testes, tratamentos ou outros produtos, incluindo produtos comerciais",Esta é uma pergunta opcional de consentimento e não é necessária para a conclusão do restante do CRF.,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_consent_secgen,radio,"Uso futuro de dados genéticos pseudonimizados em pesquisas aprovadas eticamente, incluindo pesquisas em outros países","1, Sim | 0, Não",,,,,[inclu_consent]='1',,Refere-se ao consentimento para uso secundário futuro de dados genéticos pseudonimizados em pesquisas aprovadas eticamente,Esta é uma pergunta opcional de consentimento e não é necessária para a conclusão do restante do CRF.,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_consentsecsamp,descriptive,"Uso secundário de amostras coletadas, o participante concordou com as seguintes declarações:",,,,,,[inclu_consent]='1',,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_consent_secsamprsch,radio,"Uso futuro de amostras pseudonimizadas em pesquisas aprovadas eticamente, incluindo pesquisas em outros países","1, Sim | 0, Não",,,,,[inclu_consent]='1',,"Refere-se ao consentimento para uso secundário futuro de amostras pseudonimizadas em pesquisas aprovadas eticamente, incluindo pesquisas em outros países",Esta é uma pergunta opcional de consentimento e não é necessária para a conclusão do restante do CRF.,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_consent_secsampprod,radio,"Uso futuro de amostras ou materiais pseudonimizados ou dados derivados dessas amostras para fabricar testes, tratamentos ou outros produtos, incluindo produtos comerciais","1, Sim | 0, Não",,,,,[inclu_consent]='1',,"Refere-se ao consentimento para uso secundário futuro de amostras ou materiais pseudonimizados ou dados derivados dessas amostras para fabricar testes, tratamentos ou outros produtos, incluindo produtos comerciais",Esta é uma pergunta opcional de consentimento e não é necessária para a conclusão do restante do CRF.,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_consent_secsampgen,radio,"Uso futuro de amostras genéticas pseudonimizadas em pesquisas aprovadas eticamente, incluindo pesquisas em outros países","1, Sim | 0, Não",,,,,[inclu_consent]='1',,"Refere-se ao consentimento para uso secundário futuro de amostras genéticas pseudonimizadas em pesquisas aprovadas eticamente, incluindo pesquisas em outros países",Esta é uma pergunta opcional de consentimento e não é necessária para a conclusão do restante do CRF.,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_consentcont,descriptive,Contato,,,,,,[inclu_consent]='1',,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
apresentação,CRITÉRIOS DE INCLUSÃO,inclu_consent_contnstudy,radio,"Ser contatado para participar de trabalhos futuros, incluindo estudos de pesquisa","1, Sim | 0, Não",,,,,[inclu_consent]='1',,"Refere-se ao contato a ser feito para participar de trabalhos futuros, incluindo estudos de pesquisa",Esta é uma pergunta opcional de consentimento e não é necessária para a conclusão do restante do CRF.,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
apresentação,INÍCIO E APRESENTAÇÃO,pres_onsetdate,date_dmy,Data de início do primeiro/mais antigo sintoma,,date_dmy,,today,,,,Refere-se à data de início do primeiro/mais antigo sintoma clinicamente relacionado ao episódio atual da doença.,Informe a data do primeiro sintoma que você clinicamente acredita estar relacionado a este episódio da doença no formato DD/MM/AAAA.,SNOMED,"405795006, Time of symptom onset (observable entity)",,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,0,0,0,0,0,
apresentação,INÍCIO E APRESENTAÇÃO,pres_symptpres,radio,Sintomático na apresentação inicial?,"1, Sim | 0, Não | 99, Desconhecido",,,,,,,Refere-se ao fato de o paciente apresentar sintomas na apresentação inicial.,Indique “Sim” se o paciente apresentava sintomas na consulta inicial.,,,,,,,,,,,1.0,,1.0,,,,,,,,0,0,0,0,0,0
apresentação,INÍCIO E APRESENTAÇÃO,pres_firstsym,multi_list,Sintoma(s) durante as primeiras 24 horas da doença (selecione todos os que se aplicam),,,,,conditions_Symptoms,,,"Refere-se ao primeiro sintoma, ou sintomas (se vários ocorreram ao mesmo tempo), que você clinicamente acredita estar relacionado a este episódio da doença.",Selecione todos os sintomas que o paciente apresentou durante as primeiras 24 horas da doença (selecione todos os que se aplicam).,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,0,0,0,0,0,
apresentação,INÍCIO E APRESENTAÇÃO,pres_consultdate,date_dmy,Data da primeira consulta clínica,,date_dmy,,today,,,,Refere-se à data da primeira consulta clínica relacionada ao episódio atual da doença.,Forneça a data da primeira consulta clínica relacionada ao episódio atual da doença no formato DD/MM/AAAA.,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,0,0,0,0,0,
apresentação,INÍCIO E APRESENTAÇÃO,pres_date,date_dmy,Data da apresentação/admissão mais recente nesta instituição,,date_dmy,,today,,,,Refere-se à data da hospitalização/admissão do paciente em seu local para o tratamento da doença atual.,Insira a data da hospitalização/admissão em seu local (no formato DD/MM/AAAA).,SNOMED,"32485007, Hospital admission (procedure)",,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,0,0,0,0,0,
apresentação,INÍCIO E APRESENTAÇÃO,pres_adm,radio,Admitido no hospital,"1, Sim | 0, Não | 99, Desconhecido",,,,,,,Refere-se à admissão do paciente em seu local para o tratamento da doença atual.,Indique “Sim” se o paciente foi admitido em seu local.,SNOMED,"32485007, Presentation to hospital (event)",,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,0,0,0,0,0,0
apresentação,INÍCIO E APRESENTAÇÃO,pres_adm_reas,radio,Motivo da hospitalização,,,,,,[pres_adm] = '1',,Refere-se ao motivo (indicação) da hospitalização.,"Se “Sim”, especifique o motivo (indicação) da hospitalização.",,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,0,0,0,0,0,0
apresentação,INÍCIO E APRESENTAÇÃO,pres_adm_reasoth,text,Especifique outro motivo,,,,,,[pres_adm_reas]='88',,,,,,,,,,,,1.0,,1.0,,,,,,,,,,0,0,0,,,
