Site,Code,Library,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics+extended,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_UserGenerated_Oropouche,preset_Score_CharlsonCI,preset_Module_Pregmpoxnompox,preset_Module_Pregnancy,preset_Module_Neonates,preset_Module_Paediatric,preset_Module_ExtendedMpoxPregnan,preset_Recommended Outcomes_Dengue,preset_Hospitalsed Outcomes_Dengue,preset_Early Stage Outcomes_Dengue,Value,Translation Reviewers
Pele,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,1,1,0
Petéquias,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,1,2,0
Nariz,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,1,3,0
Gengivas,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,1,4,0
Trato GI,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,1,5,0
Trato urinário,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,1,6,0
Vagina,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,1,7,0
Intracraniano,,,,,,,,,,,,,,,,,,,1,1,1,8,0
Intraespinhal,,,,,,,,,,,,,,,,,,,1,1,1,9,0
Intraocular,,,,,,,,,,,,,,,,,,,1,1,1,10,0
Retroperitoneal,,,,,,,,,,,,,,,,,,,1,1,1,11,0
Intra-articular,,,,,,,,,,,,,,,,,,,1,1,1,12,0
Pericárdico,,,,,,,,,,,,,,,,,,,1,1,1,13,0
Intramuscular (com síndrome compartimental),,,,,,,,,,,,,,,,,,,1,1,1,14,0
