Condition,Code,Library,Code_2,Library_2,Selected,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,Value,Translation Reviewers
Dor abdominal,R10.9,ICD10,21522001,SNOMED,,,,1,0
Perda de peso anormal,R63.4,ICD10,267024001,SNOMED,,,,2,0
Alopecia (queda de cabelo sem cicatrizes),L65.9,ICD10,56317004,SNOMED,,,,3,0
Consciência alterada/confusão (desorientação),R41.0,ICD10,62476001 |Disorientated (finding)|,SNOMED,,,,4,0
Anorexia,R63.0,ICD10,79890006,SNOMED,,,,5,0
Apnéia,R06.81,ICD10,1023001,SNOMED,,,,6,0
Ascite,R18.8,ICD10,389026000,SNOMED,,,,7,0
Sangramento (hemorragia),R58,ICD10,131148009,SNOMED,,,,8,0
Hematomas (equimoses espontâneas),R23.3,ICD10,308492005,SNOMED,,,,9,0
Não consigo sentir um lado do corpo ou rosto (Hemiplegia),I69.959,ICD10,20022000,SNOMED,,,,10,0
Não é possível mover ou controlar totalmente o movimento (síndrome paralítica),G83.9,ICD10,44695005,SNOMED,,,,11,0
Arritmia cardíaca,I49.9,ICD10,698247007,SNOMED,,,,12,0
Mudanças na menstruação (menstruação irregular),N92.6,ICD10,80182007,SNOMED,,,,13,0
Mudanças na textura da pele,R23.4,ICD10,274672009,SNOMED,,,,14,0
Dor no peito,R07.9,ICD10,29857009,SNOMED,,,,15,0
Dor no peito ao respirar,R07.1,ICD10,274664007,SNOMED,,,1.0,16,0
Calafrios (sem febre),R68.83,ICD10,43724002,SNOMED,,,,17,0
Comprometimento cognitivo (deficiência intelectual não especificada),F79,ICD10,386806002,SNOMED,,,,18,0
Conjuntivite,H10.9,ICD10,9826008,SNOMED,,,,19,0
Constipação,K59.0,ICD10,14760008,SNOMED,,,,20,0
Convulsões,R56.9,ICD10,91175000,SNOMED,,,,21,0
Tosse,R05,ICD10,49727002,SNOMED,,,1.0,22,0
Diarréia,R19.7,ICD10,267060006,SNOMED,,,,23,0
Dificuldade para comer ou beber (Disfagia),R13.10,ICD10,40739000,SNOMED,,,,24,0
Dificuldade em caminhar,R26.2,ICD10,719232003,SNOMED,,,,25,0
Distúrbios do nariz e seios nasais,J34,ICD10,89488007,SNOMED,,,,26,0
Perturbação na atenção (estado mental alterado),R41.82,ICD10,419284004,SNOMED,,,,27,0
Tonturas/tonturas (tonturas e vertigens),R42,ICD10,271789005,SNOMED,,,,28,0
Pele seca (Xerose cutânea),L85.3,ICD10,52475004,SNOMED,,,,29,0
Dor de ouvido (Otalgia),H92.0,ICD10,301354004,SNOMED,,,,30,0
Disfunção erétil,N52.9,ICD10,860914002,SNOMED,,,,31,0
