Disease,Code,Library,Selected,preset_ARChetype Syndromic CRF_ARI,Value,Translation Reviewers
Trabalhador de matadouro,,,1.0,1.0,1,0
Trabalhador de fazenda de gado de corte,,,1.0,1.0,2,0
Trabalhador de fazenda leiteira,,,1.0,1.0,3,0
Profissional de saúde,,,1.0,1.0,4,0
Trabalhador do mercado de aves vivas,,,,1.0,5,0
Outro trabalhador do mercado de animais vivos,,,,1.0,6,0
Trabalhador de avicultura,,,1.0,1.0,7,0
Abatedor de aves,,,,1.0,8,0
Trabalhador de transporte público,,,,,9,0
Trabalhador de saneamento,,,,,10,0
Trabalhador de fazenda de suínos,,,,1.0,11,0
Veterinário,,,1.0,1.0,12,0
