Drugs (Generic),Code,Library,Selected,preset_Respiratory,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_Arbovirus,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_User Generated CRF_Encephalitis,Comment,Value,Translation Reviewers
"Amicacina (Amikin, Biodacina, Miacina)","J01GB06 ","ATC     ",1,,,,,,,,,,,1.0,,1,0
"Amoxicilina (Amoxil, Moxatag, Trimox)","J01CA04 ","ATC     ",1,1.0,1.0,,,,,1.0,,,,1.0,,2,0
"Inibidor de Amoxicilina/Beta-lactamase (Amoxicilina/Clavulanato, Amoxicilina e ácido clavulânico, Augmentin, Amoxiclav, Co-amoxiclav)","J01CR02 ","ATC     ",1,1.0,1.0,,,,,1.0,,,,1.0,,3,0
"Anfotericina (Anfotericina B, Anfocina, Fungizone, Fungilina)","J02AA01 ","ATC     "," ",,,,,,,,,,,,,4,0
Ampicilina (Polyflex),J01CA01,ATC,1,,,,,,,,,,,1.0,,5,0
"Inibidor de Ampicilina/Beta-lactamase (Ampicilina/Sulbactam, Sulacilina, Unasyn)","J01CR01 ","ATC     ",1,,,,,,,,,,,1.0,,6,0
"Atovaquona (Mepron, Wellvone)",P01AX06,ATC,2,,,,,,,,,,,,,7,0
"Azitromicina (Sumamed, Zithromax, Zmax)",J01FA10,"ATC     ",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,8,0
"Aztreonam (Azactam, Cayston, Primbactam)",J01DF01,ATC,2,,,,,,,,,,,,,9,0
"Bacampicilina (Penglobe, Spectrobid)",J01CA06,ATC,2,,,,,,,,,,,,,10,0
Bacitracina (Baciguente),J01XX10,ATC,2,,,,,,,,,,,,,11,0
Fenoximetilpenicilina benzatina (penicilina V),J01CE10,ATC,,,,,,,,,,,,,,12,0
"Benzilpenicilina (Penicilina G, Bactracilina G,)",J01CE01,"ATC     ",1,,,,,,,,,,,1.0,,13,0
Capreomicina (Capastat),J04AB30,ATC,2,,,,,,,,,,,,,14,0
"Carbenicilina indanil sódica (Anabactyl, Carbapen, Carindacillin, Pyopen)","J01CA05 ",ATC,2,,,,,,,,,,,,,15,0
Caspofungina (Cancidas),J02AX04,ATC," ",,,,,,,,,,,,,16,0
"Cefaclor (Biocef, Ceclor, Raniclor)",J01DC04,ATC,2,,,,,,,,,,,,,17,0
Cefadroxil (Duricef),J01DB05,ATC,2,,,,,,,,,,,,,18,0
"Cefalexina (Cefalexina, Keflex, Daxbia)",J01DB01,ATC,1,,,,,,,,,,,1.0,,19,0
Cefamandol (Mandol),J01DC03,ATC,2,,,,,,,,,,,,,20,0
"Cefazolina (Ancef, Kefzol)",J01DB04,ATC,1,,,,,,,,,,,1.0,,21,0
"Cefdinir (Cefzon, Omnicef)",J01DD15,ATC,2,,,,,,,,,,,,,22,0
