Drugs,Code,Library,Selected,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Syndromic CRF_ARI,preset_User Generated CRF_Encephalitis,Value,Translation Reviewers
Abatacept (Orencia)," L04AA24  "," ATC     "," ",,,,,1,0
Adalimumabe (Humira)," L04AB04  "," ATC     ",1,,,,1.0,2,0
"Alemtuzumab (Campath, Lemtrada)"," L04AA34"," ATC     ",,1.0,1.0,,,3,0
Anakinra,L04AC03,ATC,,,,,1.0,4,0
"Azatioprina (Imuran, Azasan)"," L04AX01  "," ATC     ",1,1.0,1.0,1.0,1.0,5,0
Basiliximabe (Simulect)," L04AC02"," ATC     "," ",,,,,6,0
Belatacept (Nulojix)," L04AA28"," ATC     "," ",,,,1.0,7,0
"Ciclosporina (Neoral, Sandimmune, Gengraf)"," L04AD01  "," ATC     ",1,1.0,1.0,,1.0,8,0
Etanercept (Enbrel)," L04AB01  "," ATC     ",1,,,,1.0,9,0
"Everolimus (Afinitor, Zortress)"," L04AA18  "," ATC     "," ",1.0,1.0,,,10,0
"Infliximabe (Avsola, Inflectra, Remicade)"," L04AB02  "," ATC     ",1,,,,1.0,11,0
Leflunomida (Arava)," L04AA13  "," ATC     "," ",,,,1.0,12,0
Mercaptopurina (Purixan),L01BB02,ATC,,,,,1.0,13,0
"Metotrexato (Trexall, Rasuvo, Otrexup)","L04AX03  ","ATC     ",1,1.0,1.0,1.0,1.0,14,0
Micofenolato de mofetil (CellCept)," L04AA06  "," ATC     ",1,1.0,1.0,,1.0,15,0
Ácido Micofenólico (Myfortic)," L04AA06"," ATC     ",1,,,1.0,1.0,16,0
Natalizumabe (Tysabri)," L04AA23  "," ATC     "," ",,,,,17,0
Nivolumabe (Opdivo),L01FF02,ATC,,,,,,18,0
"Rituximabe (Rituxan, MabThera)","L01FA01 "," ATC     ",1,1.0,1.0,1.0,1.0,19,0
Sarilumabe (Kevzara)," L04AC14"," ATC     ",1,,,,1.0,20,0
Secuquinumabe (Cosentyx)," L04AC10  "," ATC     "," ",,,,,21,0
Sirolimus (Rapamune)," L04AA10  "," ATC     "," ",1.0,1.0,,1.0,22,0
"Tacrolimus (Prograf, Advagraf, Protopic)"," L04AD02  "," ATC     ",1,1.0,1.0,,1.0,23,0
Talidomida (Talomida),L04AX02,ATC,,,,,,24,0
Tocilizumabe (Actemra)," L04AC07  "," ATC     ",1,,,1.0,1.0,25,0
Ustecinumabe (Stelara)," L04AC05  "," ATC     "," ",,,,,26,0
Vedolizumabe (Entyvio)," L04AA33"," ATC     "," ",,,,,27,0
