Sequelae,Code,Selected,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Value,Translation Reviewers
Cegueira,,1.0,1.0,1.0,1.0,,1,0
Efeitos Cardiovasculares,,,,,,1.0,2,0
Visão diminuída,,1.0,1.0,1.0,1.0,,3,0
Depressão,,1.0,1.0,1.0,1.0,,4,0
Dispareunia,,1.0,1.0,1.0,1.0,,5,0
Consequência Imunológica,,,,,,1.0,6,0
Complicações Neurológicas,,,,,,1.0,7,0
Impactos Psicológicos,,,,,,1.0,8,0
Estenose retal,,1.0,1.0,1.0,1.0,,9,0
Complicações Respiratórias,,,,,,1.0,10,0
Efeitos Sistêmicos,,,,,,1.0,11,0
Estenose uretral,,1.0,1.0,1.0,1.0,,12,0
Estenose vaginal,,1.0,1.0,1.0,1.0,,13,0
