Microorganism,Code,Library,Type,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Syndromic CRF_ARI,preset_Recommended Outcomes_Dengue,preset_User Generated CRF_Encephalitis,preset_ARChetype Disease CRF_Chikungunya,Comment,Value,Translation Reviewers
Achromobacter,91620006.0,SNOMED,bacteria,,,,,,,,,,,,,,,1,0
Achromobacter xylosoxidans,413424009.0,SNOMED,bacteria,,,,,,,,,,,,,,,2,0
Acinetobacter,7757008.0,SNOMED,bacteria,,,,,,,,,,,,,,,3,0
Acinetobacter anitratus,82550008.0,SNOMED,bacteria,,,,,,,,,,,,1.0,,,4,0
Acinetobacter baumannii,91288006.0,SNOMED,bacteria,,,,,,,,,,,,,,,5,0
Acinetobacter calcoaceticus,413398000.0,SNOMED,bacteria,,,,,,,,,,,,,,,6,0
Complexo Acinetobacter calcoaceticus-baumannii,113376007.0,SNOMED,bacteria,,,,,,,,,,,,,,,7,0
Acinetobacter johnsonii,252000.0,SNOMED,bacteria,,,,,,,,,,,,,,,8,0
Acremônio,63996006.0,SNOMED,fungi,,,,,,,,,,,,,,,9,0
Actinomyces israelii,46369004.0,SNOMED,bacteria,,,,,,,,,,,,,,,10,0
Adenoviridae,424470006.0,SNOMED,virus,,,,,,,,1.0,,1.0,,1.0,,,11,0
Aeromonas,88529008.0,SNOMED,bacteria,,,,,,,,,,,,,,,12,0
Agregatibacter,441718002.0,SNOMED,bacteria,,,,,,,,,,,,,,,13,0
Bactérias anaeróbicas,59343002.0,SNOMED,bacteria,,,,,,,,,,,,,,,14,0
Ancilostoma duodenale,81559006.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,,15,0
Ortohantavírus dos Andes,442001008.0,SNOMED,virus,,,,,,,,,,,,,,,16,0
Arenaviridae,243624009.0,SNOMED,virus,,,,,,,,,,,,,,,17,0
Ascaris lumbricoides,19061001.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,,18,0
Aspergillus,2429008.0,SNOMED,fungi,,,,,,,,,,,,1.0,,,19,0
Aspergillus flavus,66821001.0,SNOMED,fungi,,,,,,,,,,,,,,,20,0
Aspergillus fumigatus,32684000.0,SNOMED,fungi,,,,,,,,,,,,,,,21,0
Complexo Aspergillus fumigatus,719029007.0,SNOMED,fungi,,,,,,,,,,,,,,,22,0
Aspergillus niger,89354002.0,SNOMED,fungi,,,,,,,,,,,,,,,23,0
Aspergillus terreus,26406003.0,SNOMED,fungi,,,,,,,,,,,,,,,24,0
Aspergillus versicolor,48315007.0,SNOMED,fungi,,,,,,,,,,,,,,,25,0
Astroviridae,424055004.0,SNOMED,virus,,,,,,,,,,,,,,,26,0
Gripe Aviária A H5N1,772827006.0,SNOMED,virus,,,,,,,,,,,,,,,27,0
Gripe Aviária A H7N9,609444009.0,SNOMED,virus,,,,,,,,,,,,,,,28,0
Bacilo,44762009.0,SNOMED,bacteria,,,,,,,,,,,,,,,29,0
Bacillus anthracis,21927003.0,SNOMED,bacteria,,,,,,,,,,,,,,,30,0
Bacilo cereus,84408007.0,SNOMED,bacteria,,,,,,,,,,,,,,,31,0
Bacteroides fragilis,55247009.0,SNOMED,bacteria,,,,,,,,,,,,,,,32,0
Bacteroides thetaiotaomicron,34236001.0,SNOMED,bacteria,,,,,,,,,,,,,,,33,0
Blastocystis hominis,28923009.0,SNOMED,"parasite, Stramenopiles",,,,,,,,,,,,,,,34,0
Blastomyces dermatitedis,65615007.0,SNOMED,fungi,,,,,,,,,,,,,,,35,0
Bocavírus (gênero),430902006.0,SNOMED,virus,,,,,,,,,,,,,,,36,0
Bordetella pertussis,5247005.0,SNOMED,bacteria,,,,,,,,,,,,,,,37,0
Brugia malayi,112443002.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,,38,0
Bunyaviridae (família),243615000.0,SNOMED,virus,,,,,,,,,,,,,,,39,0
Burkholderia,414324002.0,SNOMED,bacteria,,,,,,,,,,,,,,,40,0
Burkholderia cenocepacia,416941006.0,SNOMED,bacteria,,,,,,,,,,,,,,,41,0
Burkholderia cepacia,113669008.0,SNOMED,bacteria,,,,,,,,,,,,,,,42,0
Burkholderia pseudomallei,116399000.0,SNOMED,bacteria,,,,,,,,,,,,,,,43,0
Caliciviridae (família),243627002.0,SNOMED,virus,,,,,,,,,,,,,,,44,0
Campylobacter,35408001.0,SNOMED,bacteria,,,,,,,,,,,,1.0,,,45,0
Cândida,3265006.0,SNOMED,fungi,,,,,,,,,,,,1.0,,,46,0
Candida albicans,53326005.0,SNOMED,fungi,,,,,,,,,,,,,,,47,0
Candida auris,3490000000000.0,SNOMED,fungi,,,,,,,,,,,,,,,48,0
Candida dubliniensis,115952006.0,SNOMED,fungi,,,,,,,,,,,,,,,49,0
Candida glabrata,444877006.0,SNOMED,fungi,,,,,,,,,,,,,,,50,0
Candida imperceptível,283871001.0,SNOMED,fungi,,,,,,,,,,,,,,,51,0
Candida ortopsilose,3690000000000.0,SNOMED,fungi,,,,,,,,,,,,,,,52,0
Candida parapsilosis,61302002.0,SNOMED,fungi,,,,,,,,,,,,,,,53,0
Candida tropicalis,47885008.0,SNOMED,fungi,,,,,,,,,,,,,,,54,0
Clamídia,16241000.0,SNOMED,bacteria,,,,,,,,,,,,,,,55,0
Chlamydophila pneumoniae,103514009.0,SNOMED,bacteria,,,,,,,,,,,,,,,56,0
Chryseobacterium indologenes,113549008.0,SNOMED,bacteria,,,,,,,,,,,,,,,57,0
Citrobacter,75972000.0,SNOMED,bacteria,,,,,,,,,,,,,,,58,0
Citrobacter braakii,114262000.0,SNOMED,bacteria,,,,,,,,,,,,,,,59,0
Citrobacter freundii,6265002.0,SNOMED,bacteria,,,,,,,,,,,,,,,60,0
Citrobacter koseri,114264004.0,SNOMED,bacteria,,,,,,,,,,,,,,,61,0
Clavispora lusitaniae,50164000.0,SNOMED,fungi,,,,,,,,,,,,,,,62,0
Clonorchis sinensis,36559008.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,,63,0
Clostridium botulinum,13080008.0,SNOMED,bacteria,,,,,,,,,,,,,,,64,0
Clostridium difficile,5933001.0,SNOMED,bacteria,,,,,,,,,,,,,,,65,0
Clostridium difficile (toxina positiva),736050006.0,SNOMED,bacteria,,,,,,,,,,,,,,,66,0
Clostridium tetani,30917009.0,SNOMED,bacteria,,,,,,,,,,,,,,,67,0
Staphylococcus coagulase negativa,116197008.0,SNOMED,bacteria,,,,,,,,,,,,1.0,,,68,0
Coccidioides,8672004.0,SNOMED,fungi,,,,,,,,,,,,,,,69,0
Coccidioides immitis,23439005.0,SNOMED,fungi,,,,,,,,,,,,,,,70,0
Bactérias coliformes,77309002.0,SNOMED,bacteria,,,,,,,,,,,,,,,71,0
Coronaviridae (família),243607003.0,SNOMED,virus,,,,,,,,,,,,,,,72,0
Corinebactéria,77086004.0,SNOMED,bacteria,,,,,,,,,,,,,,,73,0
Corynebacterium amycolatum,113611002.0,SNOMED,bacteria,,,,,,,,,,,,,,,74,0
Corynebacterium pseudodiphtheriticum,12050008.0,SNOMED,bacteria,,,,,,,,,,,,,,,75,0
Corynebacterium pseudotuberculosis,55084001.0,SNOMED,bacteria,,,,,,,,,,,,,,,76,0
Corynebacterium striatum,63815007.0,SNOMED,bacteria,,,,,,,,,,,,,,,77,0
Corynebacterium ulcerans,103428000.0,SNOMED,bacteria,,,,,,,,,,,,,,,78,0
Corynebacterium xerose,27101006.0,SNOMED,bacteria,,,,,,,,,,,,,,,79,0
Vírus da Febre Hemorrágica da Crimeia-Congo (CCHF),79875007.0,SNOMED,virus,,1.0,,,,,,,,,,1.0,,,80,0
Criptococo,17579001.0,SNOMED,bacteria,,,,,,,,,,,,1.0,,,81,0
Criptococcus gattii,450862004.0,SNOMED,fungi,,,,,,,,,,,,,,,82,0
Cryptococcus neoformans,67168003.0,SNOMED,fungi,,,,,,,,,,,,,,,84,0
Cryptococcus neoformans,83821001.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,,85,0
Cryptosporidium,417722006.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,,86,0
