Sample_Type,Code,Library,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Value,Translation Reviewers
Líquido amniótico,TEMP,TEMP,,,,,,,,,1,0
BAL (lavagem broncoalveolar),TEMP,TEMP,1.0,1.0,,,,1.0,,1.0,2,0
Sangue,TEMP,TEMP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0
Leite materno,TEMP,TEMP,,,,,,,,,4,0
Cotonete bucal,TEMP,TEMP,,,,1.0,1.0,,1.0,,5,0
LCR (líquido cefalorraquidiano),TEMP,TEMP,,,1.0,1.0,1.0,,1.0,,6,0
Swab nasal/NP + garganta combinado,TEMP,TEMP,1.0,1.0,,,,1.0,,1.0,7,0
ETA (aspirado endotraqueal),TEMP,TEMP,1.0,1.0,,,,1.0,,1.0,8,0
Cotonete,TEMP,TEMP,,,,1.0,1.0,,1.0,1.0,9,0
Fezes/esfregaço retal,TEMP,TEMP,,,,1.0,1.0,,1.0,,10,0
Cotonete de lesão/crosta (pele),TEMP,TEMP,,,,1.0,1.0,,1.0,,11,0
Cotonete nasal/NP,TEMP,TEMP,1.0,1.0,,,,1.0,,1.0,12,0
Sangue neonatal,TEMP,TEMP,,,1.0,,,,,,13,0
Sêmen,TEMP,TEMP,,,,1.0,1.0,,1.0,,14,0
Escarro,TEMP,TEMP,1.0,1.0,,,,1.0,,1.0,15,0
Amostra de fezes,TEMP,TEMP,,,,,,,,,16,0
Cotonete de garganta,TEMP,TEMP,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,17,0
Cotonete uretral,TEMP,TEMP,,,,,,,,,18,0
Urina,TEMP,TEMP,,,,1.0,1.0,,1.0,,19,0
Cotonete vaginal,TEMP,TEMP,,,,1.0,1.0,,1.0,,20,0
