Form,Section,Variable,Question,Answer Options,Definition,Completion Guideline,Form Translation Reviewers,Section Translation Reviewers,Question Translation Reviewers,Definition Translation Reviewers,Completion Guideline Translation Reviewers,Answer Options Translation Reviewers
presentación,,subjid,Número de identificación del participante (PIN),,El número de identificación o PIN del participante es un número único utilizado para identificar los datos del paciente (del participante).,Escriba el número de identificación del participante (PIN).,2,,0,0,0,
presentación,CRITERIOS DE INCLUSIÓN,inclu_disease,Infección sospechada o confirmada,,Esto se refiere a cualquier infección sospechada o confirmada.,"Si se sospecha más de una infección, seleccione lo más probable y complete la sección de pruebas de patógenos con confirmación de laboratorio.",2,1,0,0,0,
presentación,CRITERIOS DE INCLUSIÓN,inclu_reason,¿Es la infección sospecha o confirmada el motivo del ingreso hospitalario?,"1, Sí | 0, No | 99, Desconocido",Esto se refiere a si la infección sospechada o confirmada con el patógeno de interés si la razón (indicación) para el ingreso hospitalario.,Indique 'sí' si se sospecha o confirma la infección con el patógeno de interés si la razón (indicación) para el ingreso hospitalario. Indique 'no' si la infección sospechada o confirmada con el patógeno de interés no es la razón (indicación) para el ingreso hospitalario.,2,1,0,0,0,0
presentación,CRITERIOS DE INCLUSIÓN,inclu_case,Estado del caso,"1, Confirmado | 2, Probable | 3, Sospechoso | 4, Descartado | 5, Error",test,test,2,1,0,1,1,0
presentación,CRITERIOS DE INCLUSIÓN,inclu_testreason,Razón por qué el paciente fue probado,"1, Sintomático | 2, Asintomático, rastreado | 3, Asintomático, campaña de pruebas masivas | 4, No se ha realizado la prueba",Esto se refiere a la razón por la cual el paciente fue probado para el patógeno de interés.,Seleccione la opción más apropiada que corresponde a la razón por la cual el paciente fue probado para el patógeno de interés.,2,1,0,0,0,0
presentación,CRITERIOS DE INCLUSIÓN,inclu_testreason_otth,Especifique otro motivo.,,Se refiere al motivo por el que se realizó la prueba del patógeno de interés al paciente.,Seleccione la opción más adecuada que corresponda al motivo por el que se realizó la prueba del patógeno de interés al paciente.,2,1,0,0,0,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consentdes,Consentimiento:,,,,2,1,0,,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent,El participante (o su representante) ha dado su consentimiento para participar en este estudio.,"1, Sí | 0, No, el participante no aceptó participar en el estudio | 2, No, el comité de ética aprobó una exención del consentimiento | 99, Desconocido",Esto se refiere a la provisión de consentimiento informado por parte del paciente o su representante para la participación en este estudio.,Indique 'sí' si el paciente o su representante han proporcionado su consentimiento informado para participar en este estudio.,2,1,0,0,0,0
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent_date,Fecha de consentimiento,,Esto se refiere a la fecha en que se dio el consentimiento informado para la inclusión de los participantes en este estudio.,Escriba la fecha en que se dio el consentimiento informado para la inclusión de los participantes en este estudio. Use el formato DD/MM/A yyyy.,2,1,0,0,0,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent_who,Consentimiento proporcionado por,"1, Participante | 2, Padre/madre/tutor | 3, Persona consultada | 4, Médico independiente",Esto se refiere a quién proporcionó el consentimiento para participar en este estudio.,Seleccione la opción más apropiada que represente quién proporcionó el consentimiento para participar en este estudio.,2,1,0,0,0,0
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent_whopg,Si el padre/tutor brinda su consentimiento: ¿el niño o el joven dan su consentimiento?,"1, Sí | 0, No | 2, No competente","Esto se refiere al asentimiento dado por un menor o adulto que no puede dar su consentimiento en su propio nombre, para participar en un estudio. El asentimiento debe estar acompañado por el consentimiento de un padre o tutor legal para su plena participación en el estudio.",Seleccione la opción más apropiada que represente si se proporcionó el asentimiento para la participación en este estudio.,2,1,0,0,0,0
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent2des,"Uso secundario de los datos recopilados, el participante está de acuerdo con las siguientes declaraciones:",,,,2,1,0,,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent_secrsch,"Uso futuro de datos seudonimizados en investigaciones aprobadas éticamente, incluidas investigaciones en otros países","1, Sí | 0, No",Se refiere al consentimiento para el uso secundario futuro de datos seudonimizados en investigaciones aprobadas éticamente.,Esta es una pregunta de consentimiento opcional y no es necesaria para completar el resto del CRF.,2,1,0,0,0,0
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent_secprod,"Uso futuro de datos seudonimizados para fabricar pruebas, tratamientos u otros productos, incluidos productos comerciales","1, Sí | 0, No","Se refiere al consentimiento para el uso secundario futuro de datos seudonimizados para fabricar pruebas, tratamientos u otros productos, incluidos productos comerciales.",Esta es una pregunta de consentimiento opcional y no es necesaria para completar el resto del CRF.,2,1,0,0,0,0
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent_secgen,"Uso futuro de datos genéticos seudonimizados en investigaciones aprobadas éticamente, incluidas investigaciones en otros países","1, Sí | 0, No",Se refiere al consentimiento para el uso secundario futuro de datos genéticos seudonimizados en investigaciones aprobadas éticamente.,Esta es una pregunta de consentimiento opcional y no es necesaria para completar el resto del CRF.,2,1,0,0,0,0
presentación,CRITERIOS DE INCLUSIÓN,inclu_consentsecsamp,"Uso secundario de muestras recolectadas, el participante estuvo de acuerdo con las siguientes afirmaciones:",,,,2,1,0,,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent_secsamprsch,"Uso futuro de muestras seudonimizadas en investigaciones aprobadas éticamente, incluidas investigaciones en otros países","1, Sí | 0, No","Se refiere al consentimiento para el uso secundario futuro de muestras seudonimizadas en investigaciones aprobadas éticamente, incluidas investigaciones en otros países.",Esta es una pregunta de consentimiento opcional y no es necesaria para completar el resto del CRF.,2,1,0,0,0,0
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent_secsampprod,"Uso futuro de muestras o materiales seudonimizados o de datos derivados de dichas muestras para fabricar pruebas, tratamientos u otros productos, incluidos productos comerciales.","1, Sí | 0, No","Se refiere al consentimiento para el uso secundario futuro de muestras o materiales seudonimizados o datos derivados de dichas muestras para fabricar pruebas, tratamientos u otros productos, incluidos productos comerciales.",Esta es una pregunta de consentimiento opcional y no es necesaria para completar el resto del CRF.,2,1,0,0,0,0
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent_secsampgen,"Uso futuro de muestras genéticas seudonimizadas en investigaciones aprobadas éticamente, incluidas investigaciones en otros países.","1, Sí | 0, No","Se refiere al consentimiento para el uso secundario futuro de muestras genéticas seudonimizadas en investigaciones aprobadas éticamente, incluidas investigaciones en otros países.",Esta es una pregunta de consentimiento opcional y no es necesaria para completar el resto del CRF.,2,1,0,0,0,0
presentación,CRITERIOS DE INCLUSIÓN,inclu_consentcont,Contacto,,,,2,1,0,,,
