Country,Region,Income group,Code,Selected,Value,Translation Reviewers
Afganistán,Latin America & Caribbean,High income,ABW,,1,0
Islas Aland,South Asia,Low income,AFG,,2,0
Albania,Sub-Saharan Africa,Lower middle income,AGO,,3,0
Argelia,Europe & Central Asia,Upper middle income,ALB,,4,0
Samoa Americana,Europe & Central Asia,High income,AND,,5,0
Andorra,Middle East & North Africa,High income,ARE,,6,0
Angola,Latin America & Caribbean,Upper middle income,ARG,,7,0
Anguila,Europe & Central Asia,Upper middle income,ARM,,8,0
Antártida,East Asia & Pacific,High income,ASM,,9,0
Antigua y Barbuda,Latin America & Caribbean,High income,ATG,,10,0
Argentina,East Asia & Pacific,High income,AUS,,11,0
Armenia,Europe & Central Asia,High income,AUT,,12,0
Aruba,Europe & Central Asia,Upper middle income,AZE,,13,0
Australia,Sub-Saharan Africa,Low income,BDI,,14,0
Austria,Europe & Central Asia,High income,BEL,,15,0
Azerbaiyán,Sub-Saharan Africa,Lower middle income,BEN,,16,0
Bahréin,Sub-Saharan Africa,Low income,BFA,,17,0
Bangladesh,South Asia,Lower middle income,BGD,,18,0
Barbados,Europe & Central Asia,Upper middle income,BGR,,19,0
Bielorrusia,Middle East & North Africa,High income,BHR,,20,0
Bélgica,Latin America & Caribbean,High income,BHS,,21,0
Belice,Europe & Central Asia,Upper middle income,BIH,,22,0
Benín,Europe & Central Asia,Upper middle income,BLR,,23,0
islas Bermudas,Latin America & Caribbean,Upper middle income,BLZ,,24,0
Bután,North America,High income,BMU,,25,0
bolivia,Latin America & Caribbean,Lower middle income,BOL,,26,0
"Bonaire, San Eustaquio y Saba",Latin America & Caribbean,Upper middle income,BRA,,27,0
Bosnia y Herzegovina,Latin America & Caribbean,High income,BRB,,28,0
Botsuana,East Asia & Pacific,High income,BRN,,29,0
Isla Bouvet,South Asia,Lower middle income,BTN,,30,0
Brasil,Sub-Saharan Africa,Upper middle income,BWA,,31,0
Territorio Británico del Océano Índico,Sub-Saharan Africa,Low income,CAF,,32,0
Brunéi,North America,High income,CAN,,33,0
Bulgaria,Europe & Central Asia,High income,CHE,,34,0
Burkina Faso,Europe & Central Asia,High income,CHI,,35,0
Burundi,Latin America & Caribbean,High income,CHL,,36,0
Camboya,East Asia & Pacific,Upper middle income,CHN,,37,0
Camerún,Sub-Saharan Africa,Lower middle income,CIV,,38,0
Canadá,Sub-Saharan Africa,Lower middle income,CMR,,39,0
Cabo Verde,Sub-Saharan Africa,Low income,COD,,40,0
Islas Caimán,Sub-Saharan Africa,Lower middle income,COG,,41,0
República Centroafricana,Latin America & Caribbean,Upper middle income,COL,,42,0
Chad,Sub-Saharan Africa,Lower middle income,COM,,43,0
Chile,Sub-Saharan Africa,Lower middle income,CPV,,44,0
Porcelana,Latin America & Caribbean,Upper middle income,CRI,,45,0
Isla de Navidad,Latin America & Caribbean,Upper middle income,CUB,,46,0
Islas Cocos (Keeling),Latin America & Caribbean,High income,CUW,,47,0
Colombia,Latin America & Caribbean,High income,CYM,,48,0
Comoras,Europe & Central Asia,High income,CYP,,49,0
Congo,Europe & Central Asia,High income,CZE,,50,0
Islas Cook,Europe & Central Asia,High income,DEU,,51,0
Costa Rica,Middle East & North Africa,Lower middle income,DJI,,52,0
Costa de Marfil (Costa de Marfil),Latin America & Caribbean,Upper middle income,DMA,,53,0
Croacia,Europe & Central Asia,High income,DNK,,54,0
Cuba,Latin America & Caribbean,Upper middle income,DOM,,55,0
Curazao,Middle East & North Africa,Lower middle income,DZA,,56,0
Chipre,Latin America & Caribbean,Upper middle income,ECU,,57,0
República Checa,Middle East & North Africa,Lower middle income,EGY,,58,0
República Democrática del Congo,Sub-Saharan Africa,Low income,ERI,,59,0
Dinamarca,Europe & Central Asia,High income,ESP,,60,0
Yibuti,Europe & Central Asia,High income,EST,,61,0
república dominicana,Sub-Saharan Africa,Low income,ETH,,62,0
República Dominicana,Europe & Central Asia,High income,FIN,,63,0
Ecuador,East Asia & Pacific,Upper middle income,FJI,,64,0
Egipto,Europe & Central Asia,High income,FRA,,65,0
Salvador,Europe & Central Asia,High income,FRO,,66,0
Guinea Ecuatorial,East Asia & Pacific,Lower middle income,FSM,,67,0
Eritrea,Sub-Saharan Africa,Upper middle income,GAB,,68,0
Estonia,Europe & Central Asia,High income,GBR,,69,0
Esuatini,Europe & Central Asia,Upper middle income,GEO,,70,0
Etiopía,Sub-Saharan Africa,Lower middle income,GHA,,71,0
Islas Malvinas,Europe & Central Asia,High income,GIB,,72,0
Islas Feroe,Sub-Saharan Africa,Lower middle income,GIN,,73,0
Islas Fiyi,Sub-Saharan Africa,Low income,GMB,,74,0
Finlandia,Sub-Saharan Africa,Low income,GNB,,75,0
Francia,Sub-Saharan Africa,Upper middle income,GNQ,,76,0
Guayana Francesa,Europe & Central Asia,High income,GRC,,77,0
Polinesia Francesa,Latin America & Caribbean,Upper middle income,GRD,,78,0
Territorios Australes Franceses,Europe & Central Asia,High income,GRL,,79,0
Gabón,Latin America & Caribbean,Upper middle income,GTM,,80,0
Gambia,East Asia & Pacific,High income,GUM,,81,0
Georgia,Latin America & Caribbean,High income,GUY,,82,0
Alemania,East Asia & Pacific,High income,HKG,,83,0
Ghana,Latin America & Caribbean,Lower middle income,HND,,84,0
Gibraltar,Europe & Central Asia,High income,HRV,,85,0
Grecia,Latin America & Caribbean,Lower middle income,HTI,,86,0
Tierra Verde,Europe & Central Asia,High income,HUN,,87,0
Granada,East Asia & Pacific,Upper middle income,IDN,,89,0
Guadalupe,Europe & Central Asia,High income,IMN,,90,0
Guam,South Asia,Lower middle income,IND,,91,0
Guatemala,Europe & Central Asia,High income,IRL,,92,0
Guernesey y Alderney,Middle East & North Africa,Lower middle income,IRN,,93,0
Guinea,Middle East & North Africa,Upper middle income,IRQ,,94,0
Guinea-Bisáu,Europe & Central Asia,High income,ISL,,95,0
Guayana,Middle East & North Africa,High income,ISR,,96,0
Haití,Europe & Central Asia,High income,ITA,,97,0
Islas Heard y McDonald,Latin America & Caribbean,Upper middle income,JAM,,98,0
Honduras,Middle East & North Africa,Lower middle income,JOR,,100,0
RAE de Hong Kong,East Asia & Pacific,High income,JPN,,101,0
Hungría,Europe & Central Asia,Upper middle income,KAZ,,102,0
Islandia,Sub-Saharan Africa,Lower middle income,KEN,,103,0
India,Europe & Central Asia,Lower middle income,KGZ,,104,0
Indonesia,East Asia & Pacific,Lower middle income,KHM,,105,0
Irán,East Asia & Pacific,Lower middle income,KIR,,106,0
Irak,Latin America & Caribbean,High income,KNA,,107,0
Irlanda,East Asia & Pacific,High income,KOR,,108,0
Israel,Middle East & North Africa,High income,KWT,,109,0
Italia,East Asia & Pacific,Lower middle income,LAO,,110,0
Jamaica,Middle East & North Africa,Lower middle income,LBN,,111,0
Japón,Sub-Saharan Africa,Low income,LBR,,112,0
Jersey,Middle East & North Africa,Upper middle income,LBY,,113,0
Jordán,Latin America & Caribbean,Upper middle income,LCA,,114,0
Kazajstán,Europe & Central Asia,High income,LIE,,115,0
Kenia,South Asia,Lower middle income,LKA,,116,0
Kiribati,Sub-Saharan Africa,Lower middle income,LSO,,117,0
Kosovo,Europe & Central Asia,High income,LTU,,118,0
Kuwait,Europe & Central Asia,High income,LUX,,119,0
Kirguistán,Europe & Central Asia,High income,LVA,,120,0
Laos,East Asia & Pacific,High income,MAC,,121,0
Letonia,Latin America & Caribbean,High income,MAF,,122,0
Líbano,Middle East & North Africa,Lower middle income,MAR,,123,0
Lesoto,Europe & Central Asia,High income,MCO,,124,0
Liberia,Europe & Central Asia,Upper middle income,MDA,,125,0
Libia,Sub-Saharan Africa,Low income,MDG,,126,0
Liechtenstein,South Asia,Upper middle income,MDV,,127,0
Lituania,Latin America & Caribbean,Upper middle income,MEX,,128,0
Luxemburgo,East Asia & Pacific,Upper middle income,MHL,,129,0
RAE de Macao,Europe & Central Asia,Upper middle income,MKD,,130,0
Madagascar,Sub-Saharan Africa,Low income,MLI,,131,0
Malaui,Middle East & North Africa,High income,MLT,,132,0
Malasia,East Asia & Pacific,Lower middle income,MMR,,133,0
Maldivas,Europe & Central Asia,Upper middle income,MNE,,134,0
Malí,East Asia & Pacific,Lower middle income,MNG,,135,0
Malta,East Asia & Pacific,High income,MNP,,136,0
Man (Isla de),Sub-Saharan Africa,Low income,MOZ,,137,0
Islas Marshall,Sub-Saharan Africa,Lower middle income,MRT,,138,0
Martinica,Sub-Saharan Africa,Upper middle income,MUS,,139,0
Mauritania,Sub-Saharan Africa,Low income,MWI,,140,0
Mauricio,East Asia & Pacific,Upper middle income,MYS,,141,0
Mayotte,Sub-Saharan Africa,Upper middle income,NAM,,142,0
México,East Asia & Pacific,High income,NCL,,143,0
Micronesia,Sub-Saharan Africa,Low income,NER,,144,0
Moldavia,Sub-Saharan Africa,Lower middle income,NGA,,145,0
Mónaco,Latin America & Caribbean,Lower middle income,NIC,,146,0
Mongolia,Europe & Central Asia,High income,NLD,,147,0
Montenegro,Europe & Central Asia,High income,NOR,,148,0
Montserrat,South Asia,Lower middle income,NPL,,149,0
Marruecos,East Asia & Pacific,High income,NRU,,150,0
Mozambique,East Asia & Pacific,High income,NZL,,151,0
Birmania,Middle East & North Africa,High income,OMN,,152,0
Namibia,South Asia,Lower middle income,PAK,,153,0
Nauru,Latin America & Caribbean,High income,PAN,,154,0
Nepal,Latin America & Caribbean,Upper middle income,PER,,155,0
Países Bajos,East Asia & Pacific,Lower middle income,PHL,,156,0
Nueva Caledonia,East Asia & Pacific,Upper middle income,PLW,,157,0
Nueva Zelanda,East Asia & Pacific,Lower middle income,PNG,,158,0
Nicaragua,Europe & Central Asia,High income,POL,,159,0
Níger,Latin America & Caribbean,High income,PRI,,160,0
Nigeria,East Asia & Pacific,Low income,PRK,,161,0
Niue,Europe & Central Asia,High income,PRT,,162,0
Isla Norfolk,Latin America & Caribbean,Upper middle income,PRY,,163,0
Corea del Norte,Middle East & North Africa,Upper middle income,PSE,,164,0
Macedonia del Norte,East Asia & Pacific,High income,PYF,,165,0
Islas Marianas del Norte,Middle East & North Africa,High income,QAT,,166,0
Noruega,Europe & Central Asia,High income,ROU,,167,0
Omán,Europe & Central Asia,Upper middle income,RUS,,168,0
Pakistán,Sub-Saharan Africa,Low income,RWA,,169,0
Palaos,Middle East & North Africa,High income,SAU,,170,0
Territorio palestino ocupado,Sub-Saharan Africa,Low income,SDN,,171,0
Panamá,Sub-Saharan Africa,Lower middle income,SEN,,172,0
Papúa Nueva Guinea,East Asia & Pacific,High income,SGP,,173,0
Paraguay,East Asia & Pacific,Lower middle income,SLB,,174,0
Perú,Sub-Saharan Africa,Low income,SLE,,175,0
Filipinas,Latin America & Caribbean,Upper middle income,SLV,,176,0
Isla Pitcairn,Europe & Central Asia,High income,SMR,,177,0
Polonia,Sub-Saharan Africa,Low income,SOM,,178,0
Portugal,Europe & Central Asia,Upper middle income,SRB,,179,0
Puerto Rico,Sub-Saharan Africa,Low income,SSD,,180,0
Katar,Sub-Saharan Africa,Lower middle income,STP,,181,0
Reunión,Latin America & Caribbean,Upper middle income,SUR,,182,0
Rumania,Europe & Central Asia,High income,SVK,,183,0
Rusia,Europe & Central Asia,High income,SVN,,184,0
Ruanda,Europe & Central Asia,High income,SWE,,185,0
santa elena,Sub-Saharan Africa,Lower middle income,SWZ,,186,0
San Cristóbal y Nieves,Latin America & Caribbean,High income,SXM,,187,0
Santa Lucía,Sub-Saharan Africa,High income,SYC,,188,0
San Pedro y Miquelón,Middle East & North Africa,Low income,SYR,,189,0
San Vicente y las Granadinas,Latin America & Caribbean,High income,TCA,,190,0
San Bartolomé,Sub-Saharan Africa,Low income,TCD,,191,0
Saint-Martin (parte francesa),Sub-Saharan Africa,Low income,TGO,,192,0
Samoa,East Asia & Pacific,Upper middle income,THA,,193,0
San Marino,Europe & Central Asia,Lower middle income,TJK,,194,0
Santo Tomé y Príncipe,Europe & Central Asia,Upper middle income,TKM,,195,0
Arabia Saudita,East Asia & Pacific,Lower middle income,TLS,,196,0
Senegal,East Asia & Pacific,Upper middle income,TON,,197,0
Serbia,Latin America & Caribbean,High income,TTO,,198,0
Seychelles,Middle East & North Africa,Lower middle income,TUN,,199,0
Sierra Leona,Europe & Central Asia,Upper middle income,TUR,,200,0
Singapur,East Asia & Pacific,Upper middle income,TUV,,201,0
Sint Maarten (parte holandesa),East Asia & Pacific,High income,TWN,,202,0
Eslovaquia,Sub-Saharan Africa,Lower middle income,TZA,,203,0
Eslovenia,Sub-Saharan Africa,Low income,UGA,,204,0
Islas Salomón,Europe & Central Asia,Lower middle income,UKR,,205,0
Somalia,Latin America & Caribbean,High income,URY,,206,0
Sudáfrica,North America,High income,USA,,207,0
Georgia del Sur,Europe & Central Asia,Lower middle income,UZB,,208,0
Corea del Sur,Latin America & Caribbean,Upper middle income,VCT,,209,0
Sudán del Sur,Latin America & Caribbean,,VEN,,210,0
España,Latin America & Caribbean,High income,VGB,,211,0
Sri Lanka,Latin America & Caribbean,High income,VIR,,212,0
Sudán,East Asia & Pacific,Lower middle income,VNM,,213,0
Surinam,East Asia & Pacific,Lower middle income,VUT,,214,0
