Drugs (Generic),Code,Library,Selected,preset_Respiratory,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_Arbovirus,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_User Generated CRF_Encephalitis,Comment,Value,Translation Reviewers
"Amikacina (Amikin, Biodacin, Miacin)","J01GB06 ","ATC     ",1,,,,,,,,,,,1.0,,1,0
"Amoxicilina (Amoxil, Moxatag, Trimox)","J01CA04 ","ATC     ",1,1.0,1.0,,,,,1.0,,,,1.0,,2,0
"Amoxicilina/Inhibidor de beta-lactamasa (Amoxicilina/clavulanato, Amoxicilina y ácido clavulánico, Augmentin, Amoxyclav, Co-amoxiclav)","J01CR02 ","ATC     ",1,1.0,1.0,,,,,1.0,,,,1.0,,3,0
"Anfotericina (Anfotericina B, Anfocina, Fungizona, Fungilina)","J02AA01 ","ATC     "," ",,,,,,,,,,,,,4,0
Ampicilina (Polyflex),J01CA01,ATC,1,,,,,,,,,,,1.0,,5,0
"Ampicilina/inhibidor de beta-lactamasa (ampicilina/sulbactam, sulacilina, unasyn)","J01CR01 ","ATC     ",1,,,,,,,,,,,1.0,,6,0
"Atovacuona (Mepron, Wellvone)",P01AX06,ATC,2,,,,,,,,,,,,,7,0
"Azitromicina (Sumamed, Zithromax, Zmax)",J01FA10,"ATC     ",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,8,0
"Aztreonam (Azactam, Cayston, Primbactam)",J01DF01,ATC,2,,,,,,,,,,,,,9,0
"Bacampicilina (Penglobe, Spectrobid)",J01CA06,ATC,2,,,,,,,,,,,,,10,0
Bacitracina (baciguente),J01XX10,ATC,2,,,,,,,,,,,,,11,0
Fenoximetilpenicilina benzatina (Penicilina V),J01CE10,ATC,,,,,,,,,,,,,,12,0
"Bencilpenicilina (Penicilina G, Bactracilina G,)",J01CE01,"ATC     ",1,,,,,,,,,,,1.0,,13,0
Capreomicina (Capastat),J04AB30,ATC,2,,,,,,,,,,,,,14,0
"Carbenicilina indanilo sódico (Anabactyl, Carbapen, Carindacilina, Pyopen)","J01CA05 ",ATC,2,,,,,,,,,,,,,15,0
Caspofungina (Cancidas),J02AX04,ATC," ",,,,,,,,,,,,,16,0
"Cefaclor (Biocef, Ceclor, Raniclor)",J01DC04,ATC,2,,,,,,,,,,,,,17,0
Cefadroxilo (Duricef),J01DB05,ATC,2,,,,,,,,,,,,,18,0
"Cefalexina (Cefalexina, Keflex, Daxbia)",J01DB01,ATC,1,,,,,,,,,,,1.0,,19,0
"Cefazolina (Ancef, Kefzol)",J01DC03,ATC,2,,,,,,,,,,,,,20,0
"Cefazolina (Ancef, Kefzol)",J01DB04,ATC,1,,,,,,,,,,,1.0,,21,0
Cefditoren (Spectracef),J01DD15,ATC,2,,,,,,,,,,,,,22,0
Cefepima (Maxipima),J01DD16,ATC,2,,,,,,,,,,,,,23,0
Cefixima (Suprax),J01DE01,ATC,1,,,,,,,,,,,1.0,,24,0
Cefmetazol (Zefazona),J01DD08,ATC,2,,,,,,,,,,,,,25,0
Cefoperazona (Cefobid),J01DC09,ATC,2,,,,,,,,,,,,,26,0
Cefotaxima (Claforan),J01DD12,ATC," ",,,,,,,,,,,,,27,0
Cefotetán (Cefotan),J01DD01,ATC,1,1.0,,,,,,,,,,1.0,,28,0
"Cefoxitina (Mefoxina, Renoxitina)",J01DC05,ATC,2,,,,,,,,,,,,,29,0
Cefpodoxima proxetil (Vantin),J01DC01,ATC,2,,,,,,,,,,,,,30,0
"Cefprozil (Cefproxil, Cefproz, Cefzil)","J01DD13  ",ATC,2,,,,,,,,,,,,,31,0
"Ceftarolina Fosamil (Teflaro, Zinforo)",J01DC10,ATC,2,,,,,,,,,,,,,32,0
"Ceftazidima (Fortaz, Tazicef)","J01DI02  ",ATC,1,,,,,,,,,,,1.0,,33,0
"Ceftazidima (Fortaz, Tazicef)","J01DD02 ",ATC,1,1.0,,,,,,,,,,1.0,,34,0
Ceftibuteno (Cedax),J01DD52,ATC,,1.0,,,,,,,,,,,,35,0
Ceftizoxima (Cefizox),J01DD14,ATC,2,,,,,,,,,,,,,36,0
Ceftobiprol Medocaril (Zeftera),J01DD07,ATC," ",,,,,,,,,,,,,37,0
"Ceftriaxona (Rocephin, Wintriaxona)","J01DI01 ",ATC,1,,,,,,,,,,,1.0,,38,0
"Ceftriaxona (Rocephin, Wintriaxona)","J01DD04 ",ATC,1,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,,39,0
"Cefuroxima (Ceftin, Zinacef)",J01DC02,ATC,1,1.0,,,,,,,,,,1.0,,40,0
"Cefalotina (Cefalotina,","J01DB01  ",ATC,2,,,,,,,,,,,,,41,0
"Cefalotina (Cefalotina,","J01DB03  ",ATC,2,,,,,,,,,,,,,42,0
"Cefapirina (cefapirina,",J01DB08,ATC,2,,,,,,,,,,,,,43,0
"Cloranfenicol (cloromicetina, Viceton)",J01DB09,ATC,2,,,,,,,,,,,,,44,0
Cinoxacina (Cinobac),J01BA01,ATC," ",1.0,,,,,,,,,,,,45,0
"Ciprofloxacina (Cetraxal, Cipro, Ciloxan, Proquin)",J01MB06,ATC,2,,,,,,,,,,,,,46,0
"Claritromicina (Biaxin, Klacid)",J01MA02,ATC,1,,,,,,,,,,,1.0,,47,0
"Clindamicina (Cleocin, Dalacin)",J01FA09,ATC,1,1.0,,,,,,,,,,1.0,,48,0
"Cloxacilina (Tegopen, Cloxapen)",J01FF01,ATC,1,,,,,,,,,,,1.0,,49,0
"Colistina (colistimetato, Coly Mycin M, Colobreathe, Xylistin)",J01CF02,ATC," ",,,,,,,,,,,,,50,0
Cicloserina (seromicina),J01XB01,ATC," ",,,,,,,,,,,,,51,0
"Daptomicina (Dapzura, Cubicin)",J04AB01,ATC,2,,,,,,,,,,,,,52,0
Demeclociclina (Declomicina),"J01XX09 ",ATC," ",,,,,,,,,,,,,53,0
"Dicloxacilina (Diclocil, Dycill, Dynapen)",J01AA01,ATC,2,,,,,,,,,,,,,54,0
