Site,Code,Library,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Syndromic CRF_VHF,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_Encephalitis,preset_Recommended Outcomes_Dengue,Value,Translation Reviewers
Peau,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1,0
Pétéchies,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0
Nez,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0
Des gommes,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,4,0
Tractus gastro-intestinal,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,5,0
Voies urinaires,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,6,0
Vagin,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,7,0
Intracrânien,,,,,,,,1.0,,,1.0,1.0,8,0
Intraspinal,,,,,,,,1.0,,,,1.0,9,0
Intraoculaire,,,,,,,,1.0,,,,1.0,10,0
Rétropéritonéal,,,,,,,,,,,,1.0,11,0
Intra-articulaire,,,,,,,,,,,,1.0,12,0
Péricardique,,,,,,,,1.0,,,1.0,1.0,13,0
Intramusculaire (avec syndrome des loges),,,,,,,,,,,,1.0,14,0
Site de cathéter IV,,,,,,,,1.0,,,,,15,0
