Drugs,Code," Library",Selected,Comment,Value,Translation Reviewers
"0,18 % à 0,3 % de chlorure de sodium + 4 % de glucose (solution saline hypotonique avec dextrose)",,,1,,1,0
"0,45 % de chlorure de sodium (solution saline semi-normale)",,,1,,2,0
"Solution saline normale à 0,45 % + 4 % de glucose (solution saline semi-normale avec dextrose)",,,1,,3,0
"0,9 % de chlorure de sodium (solution saline normale)",,,1,,4,0
5% de glucose (dextrose 5% dans l'eau),,,1,,5,0
Albumine,,,1,,6,0
Gélatines,,,1,,7,0
Ringers lactés (USP),,,1,,8,0
Plasmalyte,,,1,,9,0
Acétate de sonneries,,,1,,10,0
Amidons,,,1,,11,0
