Microorganism,Code,Library,Type,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Syndromic CRF_ARI,preset_Recommended Outcomes_Dengue,preset_ARChetype Syndromic CRF_Encephalitis,preset_ARChetype Disease CRF_Chikungunya,preset_ARChetype Syndromic CRF_VHF,Comment,Value,Translation Reviewers
Achromobactérie,91620006.0,SNOMED,bacteria,,,,,,,,,,,,,,1,0
Achromobacter xylosoxydans,413424009.0,SNOMED,bacteria,,,,,,,,,,,,,,2,0
Acinétobactérie,7757008.0,SNOMED,bacteria,,,,,,,,,,,,,,3,0
Acinetobacter anitratus,82550008.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,4,0
Acinetobacter baumannii,91288006.0,SNOMED,bacteria,,,,,,,,,,,,,,5,0
Acinetobacter calcoaceticus,413398000.0,SNOMED,bacteria,,,,,,,,,,,,,,6,0
Complexe Acinetobacter calcoaceticus-baumannii,113376007.0,SNOMED,bacteria,,,,,,,,,,,,,,7,0
Acinetobacter johnsonii,252000.0,SNOMED,bacteria,,,,,,,,,,,,,,8,0
Acrémonium,63996006.0,SNOMED,fungi,,,,,,,,,,,,,,9,0
Actinomyces israélien,46369004.0,SNOMED,bacteria,,,,,,,,,,,,,,10,0
Adénoviridés,424470006.0,SNOMED,virus,,,,,,,,1.0,,1.0,,,,11,0
Aéromonas,88529008.0,SNOMED,bacteria,,,,,,,,,,,,,,12,0
Agrégatibactérie,441718002.0,SNOMED,bacteria,,,,,,,,,,,,,,13,0
Bactéries anaérobies,59343002.0,SNOMED,bacteria,,,,,,,,,,,,,,14,0
Ancylostome duodénal,81559006.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,15,0
Orthohantavirus des Andes,442001008.0,SNOMED,virus,,,,,,,,,,,,,,16,0
Arénaviridés,243624009.0,SNOMED,virus,,,,,,,,,,,,,,17,0
Ascaris lumbricoides,19061001.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,18,0
Aspergille,2429008.0,SNOMED,fungi,,,,,,,,,,1.0,,,,19,0
Aspergillus flavus,66821001.0,SNOMED,fungi,,,,,,,,,,,,,,20,0
Aspergillus fumigatus,32684000.0,SNOMED,fungi,,,,,,,,,,,,,,21,0
Complexe Aspergillus fumigatus,719029007.0,SNOMED,fungi,,,,,,,,,,,,,,22,0
Aspergillus niger,89354002.0,SNOMED,fungi,,,,,,,,,,,,,,23,0
Aspergillus terreus,26406003.0,SNOMED,fungi,,,,,,,,,,,,,,24,0
Aspergillus versicolor,48315007.0,SNOMED,fungi,,,,,,,,,,,,,,25,0
Astroviridés,424055004.0,SNOMED,virus,,,,,,,,,,,,,,26,0
Grippe aviaire A H5N1,772827006.0,SNOMED,virus,,,,,,,,,,,,,,27,0
Grippe aviaire A H7N9,609444009.0,SNOMED,virus,,,,,,,,,,,,,,28,0
Bacille,44762009.0,SNOMED,bacteria,,,,,,,,,,,,,,29,0
Bacille anthracis,21927003.0,SNOMED,bacteria,,,,,,,,,,,,,,30,0
Bacillus cereus,84408007.0,SNOMED,bacteria,,,,,,,,,,,,,,31,0
Bacteroides fragilis,55247009.0,SNOMED,bacteria,,,,,,,,,,,,,,32,0
Bacteroides thetaiotaomicron,34236001.0,SNOMED,bacteria,,,,,,,,,,,,,,33,0
Blastocystis hominis,28923009.0,SNOMED,"parasite, Stramenopiles",,,,,,,,,,,,,,34,0
Blastomyces dermatitidis,65615007.0,SNOMED,fungi,,,,,,,,,,,,,,35,0
Bocavirus (genre),430902006.0,SNOMED,virus,,,,,,,,,,,,,,36,0
Bordetella coqueluche,5247005.0,SNOMED,bacteria,,,,,,,,,,,,,,37,0
Brugia malais,112443002.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,38,0
Bunyaviridae (famille),243615000.0,SNOMED,virus,,,,,,,,,,,,,,39,0
Burkholderia,414324002.0,SNOMED,bacteria,,,,,,,,,,,,,,40,0
Burkholderia cenocepacia,416941006.0,SNOMED,bacteria,,,,,,,,,,,,,,41,0
Burkholderia cepacia,113669008.0,SNOMED,bacteria,,,,,,,,,,,,,,42,0
Burkholderia pseudomallei,116399000.0,SNOMED,bacteria,,,,,,,,,,,,,,43,0
Caliciviridae (famille),243627002.0,SNOMED,virus,,,,,,,,,,,,,,44,0
Campylobactérie,35408001.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,45,0
Candidose,3265006.0,SNOMED,fungi,,,,,,,,,,1.0,,,,46,0
Candida albicans,53326005.0,SNOMED,fungi,,,,,,,,,,,,,,47,0
Candida auris,3490000000000.0,SNOMED,fungi,,,,,,,,,,,,,,48,0
Candida dubliniensis,115952006.0,SNOMED,fungi,,,,,,,,,,,,,,49,0
Candida glabrata,444877006.0,SNOMED,fungi,,,,,,,,,,,,,,50,0
Candida inconspicua,283871001.0,SNOMED,fungi,,,,,,,,,,,,,,51,0
Orthopsilose à Candida,3690000000000.0,SNOMED,fungi,,,,,,,,,,,,,,52,0
Candida parapsilose,61302002.0,SNOMED,fungi,,,,,,,,,,,,,,53,0
Candida tropicale,47885008.0,SNOMED,fungi,,,,,,,,,,,,,,54,0
Chlamydia,16241000.0,SNOMED,bacteria,,,,,,,,,,,,,,55,0
Chlamydophila pneumoniae,103514009.0,SNOMED,bacteria,,,,,,,,,,,,,,56,0
Chryseobacterium indogenes,113549008.0,SNOMED,bacteria,,,,,,,,,,,,,,57,0
Citrobactérie,75972000.0,SNOMED,bacteria,,,,,,,,,,,,,,58,0
Citrobacter braakii,114262000.0,SNOMED,bacteria,,,,,,,,,,,,,,59,0
Citrobactérie freundii,6265002.0,SNOMED,bacteria,,,,,,,,,,,,,,60,0
Citrobacter koseri,114264004.0,SNOMED,bacteria,,,,,,,,,,,,,,61,0
Clavispora lusitaniae,50164000.0,SNOMED,fungi,,,,,,,,,,,,,,62,0
Clonorchis sinensis,36559008.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,63,0
Clostridium botulique,13080008.0,SNOMED,bacteria,,,,,,,,,,,,,,64,0
Clostridium difficile,5933001.0,SNOMED,bacteria,,,,,,,,,,,,,,65,0
Clostridium difficile (toxine positive),736050006.0,SNOMED,bacteria,,,,,,,,,,,,,,66,0
Clostridium tetani,30917009.0,SNOMED,bacteria,,,,,,,,,,,,,,67,0
Staphylocoque à coagulase négative,116197008.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,68,0
Coccidioides,8672004.0,SNOMED,fungi,,,,,,,,,,,,,,69,0
Coccidioides immitis,23439005.0,SNOMED,fungi,,,,,,,,,,,,,,70,0
Bactéries coliformes,77309002.0,SNOMED,bacteria,,,,,,,,,,,,,,71,0
Coronaviridae (famille),243607003.0,SNOMED,virus,,,,,,,,,,,,,,72,0
Corynebactérie,77086004.0,SNOMED,bacteria,,,,,,,,,,,,,,73,0
Corynebactérie amycolatum,113611002.0,SNOMED,bacteria,,,,,,,,,,,,,,74,0
Corynebacterium pseudodiphtheriticum,12050008.0,SNOMED,bacteria,,,,,,,,,,,,,,75,0
Corynebacterium pseudotuberculose,55084001.0,SNOMED,bacteria,,,,,,,,,,,,,,76,0
Corynebactérie striatum,63815007.0,SNOMED,bacteria,,,,,,,,,,,,,,77,0
Corynebacterium Ulcerans,103428000.0,SNOMED,bacteria,,,,,,,,,,,,,,78,0
Corynebacterium xérose,27101006.0,SNOMED,bacteria,,,,,,,,,,,,,,79,0
Virus de la fièvre hémorragique de Crimée-Congo (CCHF),79875007.0,SNOMED,virus,,1.0,,,,,,,,1.0,,,,80,0
Cryptocoque,17579001.0,SNOMED,bacteria,,,,,,,,,,1.0,,,,81,0
Cryptococcus gattii,450862004.0,SNOMED,fungi,,,,,,,,,,,,,,82,0
Cryptococcus néoformans,67168003.0,SNOMED,fungi,,,,,,,,,,,,,,84,0
Cryptosporidium,83821001.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,85,0
Cryptosporidium hominis,417722006.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,86,0
Cryptosporidium parvum,51504002.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,87,0
Curvulaire lunaire,33165007.0,SNOMED,fungi,,,,,,,,,,,,,,89,0
Cyclospora,103560006.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,90,0
Cyclospora cayetanensis,103561005.0,SNOMED,"parasite, protozoa",,,,,,,,,,,,,,91,0
Cytomégalovirus,407444007.0,SNOMED,virus,,,,,,,,,,1.0,,,,92,0
Delftie,416493002.0,SNOMED,bacteria,,,,,,,,,,,,,,93,0
Delftia acidovorans,20432002.0,SNOMED,bacteria,,,,,,,,,,,,,,94,0
Deltavirus,83617006.0,SNOMED,virus,,,,,,,,,,,,,,95,0
Virus de la dengue,34348001.0,SNOMED,virus,,,1.0,,,,1.0,,1.0,,1.0,,,96,0
Dermabactérie,413976002.0,SNOMED,bacteria,,,,,,,,,,,,,,97,0
Diphtéroïde,54642001.0,SNOMED,bacteria,,,,,,,,,,,,,,98,0
Diphyllobothrium latum,40406002.0,SNOMED,"parasite, helminth",,,,,,,,,,,,,,100,0
