Site,Code,Library,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Syndromic CRF_VHF,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_Encephalitis,preset_Recommended Outcomes_Dengue,Value,Translation Reviewers
Pele,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1,0
Petéquias,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0
Nariz,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0
Gengivas,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,4,0
Trato gastrointestinal,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,5,0
Trato urinário,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,6,0
Vagina,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,7,0
Intracraniano,,,,,,,,1.0,,,1.0,1.0,8,0
Intraespinhal,,,,,,,,1.0,,,,1.0,9,0
Intraocular,,,,,,,,1.0,,,,1.0,10,0
Retroperitoneal,,,,,,,,,,,,1.0,11,0
Intra-articular,,,,,,,,,,,,1.0,12,0
Pericárdico,,,,,,,,1.0,,,1.0,1.0,13,0
Intramuscular (com síndrome compartimental),,,,,,,,,,,,1.0,14,0
Local do cateter intravenoso,,,,,,,,1.0,,,,,15,0
