Site,Code,Library,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Syndromic CRF_VHF,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_Encephalitis,preset_Recommended Outcomes_Dengue,Value,Translation Reviewers
Piel,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1,0
Petequias,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0
Nariz,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0
Cena,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,4,0
tracto gastrointestinal,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,5,0
Tracto urinario,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,6,0
Vagina,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,7,0
intracraneal,,,,,,,,1.0,,,1.0,1.0,8,0
intraespinal,,,,,,,,1.0,,,,1.0,9,0
intraocular,,,,,,,,1.0,,,,1.0,10,0
retroperitoneal,,,,,,,,,,,,1.0,11,0
intraarticular,,,,,,,,,,,,1.0,12,0
pericárdico,,,,,,,,1.0,,,1.0,1.0,13,0
Intramuscular (con síndrome compartimental),,,,,,,,,,,,1.0,14,0
Sitio del catéter intravenoso,,,,,,,,1.0,,,,,15,0
