Drugs,Code,Library,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Syndromic CRF_VHF,preset_ARChetype Syndromic CRF_Encephalitis,Comment,Value,Translation Reviewers
"Amikacina (Amikin, Biodacin, Miacin)",J01GB06,ATC,1.0,,,,,,,,,,,1,0
"Amoxicilina (Amoxil, Moxatag, Trimox)",J01CA04,ATC,1.0,1.0,,,,,1.0,,,,,2,0
"Amoxicilina/Inhibidor de beta-lactamasa (Amoxicilina/clavulanato, Amoxicilina y ácido clavulánico, Augmentin, Amoxyclav, Co-amoxiclav)",J01CR02,ATC,1.0,1.0,,,,,1.0,,,,,3,0
"Anfotericina (Anfotericina B, Anfocina, Fungizona, Fungilina)",J02AA01,ATC,,,,,,,,,,,,4,0
Ampicilina (Polyflex),J01CA01,ATC,1.0,,,,,,,,,1.0,,5,0
"Ampicilina/inhibidor de beta-lactamasa (ampicilina/sulbactam, sulacilina, unasyn)",J01CR01,ATC,1.0,,,,,,,,,,,6,0
"Atovacuona (Mepron, Wellvone)",P01AX06,ATC,,,,,,,,,,,,7,0
"Azitromicina (Sumamed, Zithromax, Zmax)",J01FA10,ATC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,8,0
"Aztreonam (Azactam, Cayston, Primbactam)",J01DF01,ATC,,,,,,,,,,,,9,0
"Bacampicilina (Penglobe, Spectrobid)",J01CA06,ATC,,,,,,,,,,,,10,0
Bacitracina (baciguente),J01XX10,ATC,,,,,,,,,,,,11,0
Fenoximetilpenicilina benzatina (Penicilina V),J01CE10,ATC,,,,,,,,,,,,12,0
"Bencilpenicilina (Penicilina G, Bactracilina G,)",J01CE01,ATC,1.0,,,,,,,,,,,13,0
Capreomicina (Capastat),J04AB30,ATC,,,,,,,,,,,,14,0
"Carbenicilina indanilo sódico (Anabactyl, Carbapen, Carindacilina, Pyopen)",J01CA05,ATC,,,,,,,,,,,,15,0
Caspofungina (Cancidas),J02AX04,ATC,,,,,,,,,,,,16,0
"Cefaclor (Biocef, Ceclor, Raniclor)",J01DC04,ATC,,,,,,,,,,,,17,0
Cefadroxilo (Duricef),J01DB05,ATC,,,,,,,,,,,,18,0
